,readable,stripped,other,proportions,processes,decisions,conditions,causes,all
0,"0. It's very fixed information for a changing climate, and the farmer knows this, but he can't transfer that knowledge to SAED because he doesn't actually know if it's important that is, you can't tell if something weird is consequential until you see if the harvest is bad or not.",fix information change climate farmer know transfer knowledge sae actually know important tell something weird consequential see harvest bad,False,False,False,True,True,True,True
1,"1. Buyers will ask if a farmer has access to a harvester, to ensure they can get help harvesting their land.",buyer ask farmer access harvester ensure get help harvest land,False,False,False,False,True,False,True
2,"2. If a farmer waits until the rice is ready, he might lose more than if he harvests early.",farmer wait rice ready might lose harvest early,False,True,True,True,False,False,True
3,3. Dr. Fall expects him to harvest early.,dr fall expect harvest early,True,False,False,False,False,False,True
4,"4. If labor is available, and the harvesters are not available, a farmer will harvest early if he expects a good market price or if birds are nearby or if he wants to spend less on harvest.",labor available harvester available farmer harvest early expect good market price bird nearby want spend less harvest,False,True,False,True,True,False,True
5,"5. If a farmer's farm size is big enough, he will wait until harvesters are available, but if his plots are small, he will hire labor.",farmer farm size big enough wait harvester available plot small hire labor,False,True,False,True,True,False,True
6,"6. If a farmer harvests paddy rice late, he won't be able to start tomatoes in the colddry season.",farmer harvest paddy rice late able start tomato cold dry season,False,False,True,False,True,False,True
7,"7. Suppose that Mr. A has harvested, but he hasn't repaid his coop yet.",suppose mr harvest repay cooperative yet,True,False,False,False,False,False,True
8,"8. Sometimes farmers just do one crop a year because they harvest late, etc.",sometimes farmer one crop year harvest late,False,False,True,True,False,True,True
9,"9. The government is relying on farmers to be able to reduce the amount of imported food, and is making equipment and technology available to try and increase production.",government rely farmer able reduce amount import food make equipment technology available try increase production,False,True,False,False,False,False,True
10,"10. The local cooperative wouldn't help an elderly couple without children to harvest their fields, because cooperatives have their own goals.",local cooperative help elderly couple without child harvest field cooperative goal,False,False,False,True,False,True,True
11,11. It is culturally expected to help elders and to go harvest their fields and give them the product.,culturally expect help elder go harvest field give product,False,False,False,True,True,False,True
12,"12. At harvest time, the cooperative has to collect ALL the yield from farmers and store in headquarters; then they take all the corresponding credit from each farmer's production and leave the remaining to each farmer.",harvest time cooperative collect yield farmer store headquarters take corresponding credit farmer production leave remain farmer,False,True,True,False,False,False,True
13,"13. Financing line in any bank they choose, to support startup costs and subsidize through credit for farmers, e.g. for new equipment, etc.",financing line bank choose support startup cost subsidize credit farmer new equipment,True,False,False,False,False,False,True
14,"14. For improving the system itself, farmers need to be pushed to get access to equipment.",improve system farmer need push get access equipment,True,False,False,False,False,False,True
15,"15. Credit union makes a program to subsidize 20 or 30% of equipment cost, so farmers pay back only 70% of 40 million or whatever.",credit union make program subsidize equipment cost farmer pay back million whatever,False,True,False,False,False,False,True
16,16. Labor most of the irrigated system requires a lot of labor if you're not using machinery (and you probably aren't because it's expensive.),labor irrigate system require lot labor use machinery probably expensive,False,True,False,False,True,True,True
17,"17. You might not have enough money to hire labor, COVID might make it difficult, or nobody can move the machinery to where you are.",might enough money hire labor covid might make difficult nobody move machinery,False,True,False,False,True,False,True
18,"18. But for onions, the farmers being in cooperatives, they lobby to pressure the government for a grace period after harvest where imports are stopped, e.g. a month in which domestic producers can sell before imports are allowed.",onion farmer cooperative lobby pressure government grace period harvest import stop month domestic producer sell import allow,False,False,True,False,False,False,True
19,"19.  Diagram time During harvest, there's a few factors to consider.","diagram time 

 harvest factor consider",True,False,False,False,False,False,True
20,"20. For the majority, you have to ask if you have equipment ready to harvest.",majority ask equipment ready harvest,False,False,True,False,True,False,True
21,"21. Are you willing to harvest very rapidly because you're having bird attacks or other damages that speed up your timeline; is it wet or dry, because the humidity of the paddy means some might be lost by machinery; and labor is cheaper than equipment.",willing harvest rapidly bird attack damage speed timeline wet dry humidity paddy mean might lose machinery labor cheap equipment,False,True,True,True,False,True,True
22,"22. A final factor is that you need to repay your loans before you can get new credit, so you want to harvest faster so you can repay faster.",final factor need repay loan get new credit want harvest fast repay fast,False,False,True,False,True,False,True
23,"23. For labor, you pay 110th of your production for a harvester.",labor pay th production harvester,False,True,False,False,False,False,True
24,"24. If you use a thresher on top of that, that costs 18%.",use harvester top cost,False,True,False,False,True,False,True
25,"25. If you use a thresher with tiny plots, sometimes you lose more yield than if you were using labor.",use harvester tiny plot sometimes lose yield use labor,False,True,False,False,True,False,True
26,"26. But others say threshers produce clean, fast, high quality paddy without a bunch of weeds, and labor takes time",other say harvester produce clean fast high quality paddy without bunch weed labor take time,False,False,True,True,True,False,True
27,"27. Dr. Fall believes that if you have a small plot, it's best to use manual labor if you harvest on time.",dr fall believe small plot good use manual labor harvest time,False,False,False,False,True,False,True
28,"28. If you have a big plot, there's no way you can harvest it all on time by labor!",big plot way harvest time labor,False,False,False,False,True,False,True
29,"29. Unfortunately, everybody wants to harvest at the last moment, and then there's no service providers available.",unfortunately everybody want harvest last moment service provider available,False,False,False,True,False,True,True
30,30. Another factor is that labor gets more expensive when there's crops being harvested for export markets that compete.,another factor labor get expensive crop harvest export market compete,False,True,True,False,False,True,True
31,"31. But for seeding and harvesting, it mostly comes from hired labor.",seeding harvesting mostly come hire labor,True,False,False,False,False,False,True
32,"32. There's seeding periods, harvest periods, where labor is needed in various industries and there's a competition.",seeding period harvest period labor need various industry competition,False,False,True,False,False,False,True
33,"33. But during harvest time for rice, harvest for rice corresponds to seeding period for horticulture croppings.",harvest time rice harvest rice correspond seed period horticulture cropping,False,False,True,False,False,False,True
34,"34. So if those farms need labor for horticulture, they may compete with farms that need harvest labor.",farm need labor horticulture may compete farm need harvest labor,False,False,False,False,True,False,True
35,"35. They'll hire temporary labor for periods like seeding and harvesting, but there's still room for small farmers.",hire temporary labor period like seeding harvesting still room small farmer,False,False,True,False,False,False,True
36,"36. Farmers really need hired labor for harvesting; for the seeding period, they may be able to rely on family labor.",farmer really need hire labor harvesting seeding period may able rely family labor,False,False,True,False,True,False,True
37,"37. If you have machinery, you just need two people: One to drive, one to guide, no matter the number of hectares.",machinery need two people one drive one guide matter number hectare,False,True,False,False,False,False,True
38,"38. But if you go for manual labor, it might take three people three days (8hr a day) to harvest one hectare.",go manual labor might take three people three day hr day harvest one hectare,False,False,True,False,True,False,True
39,39. Service providers need to check before they agree to harvest.,service provider need check agree harvest,False,False,False,True,True,False,True
40,"40. In his opinion, 85% are always using machinery.",opinion always use machinery,False,True,False,False,False,False,True
41,41. It's because they harvest late and they don't have time to go for labor.,harvest late time go labor,True,False,False,False,False,True,True
42,42. Some of them buy batteuse-ASI (mini-thresher).,buy batteuse asi mini harvester,True,False,False,False,False,False,True
43,43. We could see horticulture harvests around January and early February (we would see a lot of farms doing onions and tomatoes).,could see horticulture harvest around january early february would see lot farm onion tomato,False,False,True,False,False,False,True
44,44. Harvest delays due to restricted access to labor and equipment.,harvest delay due restricted access labor equipment,False,True,True,False,False,True,True
45,"45. Since people harvest in June or late July, it takes roughly 3 months to collect debts.",since people harvest june late july take roughly month collect debt,False,False,True,False,False,True,True
46,"46. The bulletin says the remaining credit comes from credit loaned on onions, which is supposed to be paid by June six months between onion harvest and full credit reimbursement!",bulletin say remain credit come credit loan onion suppose pay june six month onion harvest full credit reimbursement,False,False,True,False,False,False,True
47,"47. Not able to predict the level of production in the future due to uncertain factors, e.g. do farmers have access to inputs, does the credit come in on time, do farmers use technology and machinery or not all of these factors constrain the area cultivated.",able predict level production future due uncertain factor farmer access input credit come time farmer use technology machinery factor constrain area cultivate,True,False,False,False,False,True,True
48,"48. Another issue is the access to mechanization services, e.g. for harvest; service providers are not always ready on time to provide the services farmers need.",another issue access mechanization service harvest service provider always ready time provide service farmer need,True,False,False,False,False,False,True
49,49. There aren't enough service providers with enough equipment; some equipment sometimes isn't adapted to the land (e.g. the big harvesters won't be able to handle small parcels).,enough service provider enough equipment equipment sometimes adapt land big harvester able handle small parcel,False,True,False,False,False,False,True
50,50.  Diagram time Dr. Fall says there can be positive or negative effects of climate change on harvest time.,"diagram time 
 dr fall say positive negative effect climate change harvest time",False,True,False,False,False,False,True
51,"51. You have to make sure to harvest on time, clean up the plot, that you have the money to get the inputs you need on time (you have your own money or you go to another lender), etc.",make sure harvest time clean plot money get input need time money go another lender ,True,False,False,False,False,False,True
52,52. The availability of equipment for land prep is another factor.,availability equipment land prep another factor,False,False,False,False,True,False,True
53,53. Plant short duration seeds in dry season because there's a short window for harvest.,plant short duration seed dry season short window harvest,False,False,False,True,False,True,True
54,"54. The timing of harvest is linked to CC because the start of the rainy season is coming earlier and earlier each year, they have to harvest before it arrives or the soil will be wet and the harvesters won't be able to pass over the soil.",timing harvest link cc start rainy season come early early year harvest arrive soil wet harvester able pass soil,False,False,True,False,True,True,True
55,55. They harvest early to protect themselves from the consequences of CC.,harvest early protect consequence cc,False,False,False,True,False,False,True
56,56. But it is better to harvest early because you don't want the birds to come at the end of the season and eat your harvest.,well harvest early want bird come end season eat harvest,False,False,False,True,False,True,True
57,57. SAED doesn't provide information about whether they should harvest early or not they just make the judgment themselves.,sae provide information whether harvest early make judgment,False,False,False,True,False,False,True
58,58. Farmers that harvest earlier tend to have better yields: 2 - 3 tons earlier.,farmer harvest early tend well yield ton early,False,True,False,False,False,True,True
59,"59. There's a window for harvest in rice and if you harvest later, the yields decrease.",window harvest rice harvest later yield decrease,False,True,True,False,False,True,True
60,"60. If you sow earlier and harvest at the ideal time, you also are more likely to get access to harvesting equipment.",sow early harvest ideal time likely get access harvesting equipment,False,True,True,False,False,True,True
61,"61. Even if they sow early, they might not have access to a harvester, so they might be waiting for a month to get access.",even sow early might access harvester might wait month get access,True,False,False,False,False,False,True
62,62. The harvesters are also too big and if the soil is wet then they can't easily move through.,harvester big soil wet easily move,False,False,False,False,False,True,True
63,63. Investors are now starting to shift to the mini harvester.,investor start shift mini harvester,False,False,False,True,False,False,True
64,64. Farmers that plant early and harvest early in one season can double crop.,farmer plant early harvest early one season double crop,False,False,True,False,True,False,True
65,65. Access to harvesters is a financial problem.,access harvester financial problem,True,False,False,False,False,False,True
66,"66. Pape has seen this year some harvesters that are being financed by banks, but the one who owns the harvester has to pay back the loan.",pape see year harvester finance bank one own harvester pay back loan,True,False,False,False,False,False,True
67,"67. If the farmer has a little area, the people who own the harvester won't feel like going from plot to plot because transportation costs a lot (need a big car, need to pay for the gas).",farmer little area people harvester feel like go plot plot transportation cost lot need big car need pay gas,False,False,False,True,True,True,True
68,"68. Harvesters will start in the North of the valley and do little plots, and then they go to Mauritania to work on 50 ha plots because they have to pay back loans quickly.",harvester start north valley little plot go mauritania work ha plot pay back loan quickly,False,False,True,True,False,True,True
69,"69. At the start of June there's plenty available, but by July all the harvesters have gone.",start june plenty available july harvester go,True,False,False,False,False,False,True
70,"70. Small coops and farmers lose out, but they can also do manual harvesting (very slow) or try to get a mini harvester.",small cooperative farmer lose manual harvesting slow try get mini harvester,False,True,False,True,False,False,True
71,"71. If a farmer can't get machinery and doesn't have enough household labor, they hire migrants who come up the south of Senegal.",farmer get machinery enough household labor hire migrant come south senegal,False,False,False,False,True,False,True
72,72. They are specialized in this kind of work and have the reputation of doing it very fast; farmers prefer to hire migrants if they can't get access to a big harvester.,specialize kind work reputation fast farmer prefer hire migrant get access big harvester,False,False,False,True,True,False,True
73,"73. When the rice matures, if the soil is water-saturated and the rice has started to go yellow, they know it's ready to harvest.",rice mature soil water saturate rice start go yellow know ready harvest,False,False,True,True,True,False,True
74,"74. They will only harvest if they have the tools available, but they do know when they should harvest.",harvest tool available know harvest,False,False,False,True,True,False,True
75,75. Big shortage in migrant labor due to COVID most farmers were 30 to 40 days late in harvesting and lost a lot of yields.,big shortage migrant labor due covid farmer day late harvesting lose lot yield,False,True,False,False,False,True,True
76,"76. He knows of two coops who got paid back 50% and thinks this is fair since they harvested, after all.",know two cooperative got pay back think fair since harvest,True,False,False,False,False,False,True
77,77. Farmers will harvest at night to sell on the side.,farmer harvest night sell side,False,False,False,True,False,False,True
78,"78. The farmer wants to pay back if he knows if he'll get another loan, or if there are other advantages, e.g. getting a harvester loan, etc.",farmer want pay back know get another loan advantage get harvester loan,False,False,False,True,False,False,True
79,"79. They're part of a subregional task force on rice and agriculture equipment, including Mali, etc.",part subregional task force rice agriculture equipment include mali,True,False,False,False,False,False,True
