,readable,stripped,other,proportions,processes,decisions,conditions,causes,all
0,0. Farmers will do horticulture for subsistence but not rice planting without a loan.,farmer horticulture subsistence rice planting without loan,False,False,False,True,True,False,True
1,1. Mr. D grew tomatoes in last year's colddry season and made a good profit.,mr grow tomato last year cold dry season make good profit,True,False,False,False,False,False,True
2,2. We must notice that rice and tomatoes are not grown at the same time.,must notice rice tomato grow time,False,False,True,False,False,False,True
3,3. A farmer might do rice and then as a result he might miss the cropping season for tomatoes.,farmer might rice result might miss cropping season tomato,False,False,False,False,False,True,True
4,"4. If a farmer harvests paddy rice late, he won't be able to start tomatoes in the colddry season.",farmer harvest paddy rice late able start tomato cold dry season,False,False,True,False,True,True,True
5,"5. If a farmer had a good price for tomatoes last season, no matter what the government says about rice, he will grow tomatoes again because he's thinking about the profits, even though the rice is subsidized.",farmer good price tomato last season matter government say rice grow tomato think profit even though rice subsidize,False,True,False,True,False,True,True
6,"6. If the expected profit for tomatoes is higher, it doesn't matter what the government does to incentivize rice.",expect profit tomato high matter government incentivize rice,False,True,False,False,True,False,True
7,7. A half hectare of tomatoes earns almost twice as much for the farmer than one hectare of rice.,half hectare tomato earn almost twice much farmer one hectare rice,False,True,False,False,False,False,True
8,8. But the inputs for tomatoes are higher.,input tomato high,False,True,False,False,False,False,True
9,"9. Last year, tomatoes sold at a high price and many of Mr. D's neighbors have already planted tomatoes this year.",last year tomato sell high price many mr neighbor already plant tomato year,True,False,False,False,False,False,True
10,"10. Tomatoes is one of the crops with access to credit, so if you can get credit, you might go for tomatoes.",tomato one crop access credit get credit might go tomato,False,False,False,True,True,False,True
11,11. Farmers will compare the expected profit of tomatoes to the increasing price of seed to determine whether that seed price is too high.,farmer compare expect profit tomato increase price seed determine whether seed price high,False,True,False,True,False,False,True
12,"12. Dr. Fall would expect the majority of farmers would go for tomatoes, because the price of tomato seed probably wouldn't be so much compared to the expected profit.",dr fall would expect majority farmer would go tomato price tomato seed probably much compare expect profit,False,True,False,True,False,True,True
13,"13. Last year was a good year for tomatoes, so farmers expect the same thing this year, and the price of seed just can't get high enough to cut into the profits.",last year good year tomato farmer expect thing year price seed get high enough cut profit,False,True,False,True,False,False,True
14,14. Dr. Fall expects 50 to 60% of farmers to go for tomatoes.,dr fall expect farmer go tomato,False,True,False,True,False,False,True
15,"15. Farmers might emphasize tomatoes this colddry season, expecting a high price, in order to get enough cash to afford other foods at their high prices.",farmer might emphasize tomato cold dry season expect high price order get enough cash afford food high price,False,True,False,True,True,False,True
16,16. Sometimes people sell tomatoes to pay back credit for rice.,sometimes people sell tomato pay back credit rice,False,False,False,False,False,True,True
17,"17. Growing tomatoes in the colddry season and paddy in the rainy season, keeping more paddy for consumption, in order to have a surplus of both cash and rice.",grow tomato cold dry season paddy rainy season keep paddy consumption order surplus cash rice,False,True,True,False,False,True,True
18,"18. Farmers are growing more tomatoes and rice for their own benefit and to prevent their own hunger, but also because they're interested in the national big picture.",farmer grow tomato rice benefit prevent hunger interested national big picture,False,True,False,True,False,True,True
19,19. But for tomatoes you need the right type of soil.,tomato need right type soil,False,False,False,False,True,False,True
20,"20. Coop leaders don't really direct what the area is, but they might influence what to crop, how to switch from one crop to another; they have information about fertilizer, etc.. Oh, the leader is growing onion, so maybe I will follow.",cooperative leader really direct area might influence crop switch one crop another information fertilizer oh leader grow onion maybe follow,False,False,False,True,False,True,True
21,21. This is mainly for onions and for some other vegetables.,mainly onion vegetable,True,False,False,False,False,False,True
22,"22. But for tomatoes, there's an industry working with farmers to buy local production, and even though it's not always capable of buying all the production, there's still a good market.",tomato industry work farmer buy local production even though always capable buy production still good market,False,True,False,False,False,False,True
23,"23. But for onions, the farmers being in cooperatives, they lobby to pressure the government for a grace period after harvest where imports are stopped, e.g. a month in which domestic producers can sell before imports are allowed.",onion farmer cooperative lobby pressure government grace period harvest import stop month domestic producer sell import allow,False,False,True,False,False,False,True
24,24. This agency is all for horticulture crops.,agency horticulture crop,True,False,False,False,False,False,True
25,"25. There's some effort for promotion of local rice, and sometimes they increase the tax rate of importers for rice, but the mechanism is quite different than the onion import market.",effort promotion local rice sometimes increase tax rate importer rice mechanism quite different onion import market,False,True,False,False,False,True,True
26,26. Onion Growers' Cooperative is nation-wide so they have the power to pressure the government.,onion grower cooperative nation wide power pressure government,True,False,False,False,False,False,True
27,"27. Most of them are in the SRV because most production is in Podor, but there's also the Niaye zone that's the main horticulture zone that has onion too (Dakar to St. Louis).",srv production podor niaye zone main horticulture zone onion dakar st louis,False,True,False,False,False,True,True
28,"29. But during harvest time for rice, harvest for rice corresponds to seeding period for horticulture croppings.",harvest time rice harvest rice correspond seed period horticulture cropping,False,False,True,False,False,False,True
29,"30. So if those farms need labor for horticulture, they may compete with farms that need harvest labor.",farm need labor horticulture may compete farm need harvest labor,False,False,False,False,True,False,True
30,31. Also agribusinesses like the tomato canning industry have their own regular labor.,agribusinesse like tomato canning industry regular labor,False,False,True,False,False,False,True
31,33. Colddry (SSF): End of November  December into beginning of February (horticulture)Rainy season can vary between mid-June - Sept or July through mid-October depending on the rains.,"cold dry ssf end november december beginning february horticulture 

 rainy season vary mid june sept july mid october depend rain",False,False,True,False,False,False,True
32,34. We could see horticulture harvests around January and early February (we would see a lot of farms doing onions and tomatoes).,could see horticulture harvest around january early february would see lot farm onion tomato,False,True,True,False,False,False,True
33,"35. If we just care about millers, etc., we would come around April where we would see rice on the farm and the commercialization of colddry horticulture crops.",care miller would come around april would see rice farm commercialization cold dry horticulture crop,False,False,True,False,False,False,True
34,"36. Feb-April we would see the remnants of commercialization of onions and tomatoes, plus the growth of hotdry rice.",feb april would see remnant commercialization onion tomato plus growth hot dry rice,False,False,True,False,False,False,True
35,"38. The bulletin says the remaining credit comes from credit loaned on onions, which is supposed to be paid by June six months between onion harvest and full credit reimbursement!",bulletin say remain credit come credit loan onion suppose pay june six month onion harvest full credit reimbursement,False,True,True,False,False,False,True
36,"39. Cold season, you plant horticulture, the other season you do rice.",cold season plant horticulture season rice,False,False,True,False,True,False,True
37,40. So some farmers prefer to do horticulture in cold season so there's time to sell and start rice in the rainy season.,farmer prefer horticulture cold season time sell start rice rainy season,False,False,True,True,False,True,True
38,"41. Now, this year, farmers don't want to grow potatoes; they've gone to onion.",year farmer want grow potato go onion,False,False,False,True,False,False,True
39,42. Horticulture is all for commercialization.,horticulture commercialization,False,True,False,False,False,False,True
40,43. 20 - 30% of rice is for subsistence but horticulture is for market.,rice subsistence horticulture market,False,True,False,False,False,False,True
41,44. You don't get credit for horticulture because it's not a government priority.,get credit horticulture government priority,False,False,False,False,False,True,True
42,"45. For the tomato industry, there's a similar system with SAED and banks, but onion isn't tied to any private sector organizations (just traders), so there isn't credit.",tomato industry similar system extension bank onion tie private sector organization trader credit,False,False,False,False,False,True,True
43,"46. Cotton, peanut, rice and tomatoes are the only crops with easy access to credit.",cotton peanut rice tomato crop easy access credit,False,False,False,False,True,False,True
44,"47. If you can't get credit (maybe because you didn't pay), then horticulture is a good option because you might make more money even than rice.",get credit maybe pay horticulture good option might make money even rice,False,True,False,True,True,False,True
45,"48. But inputs are more expensive for horticulture than rice, so the payoff is higher but so is the investment.",input expensive horticulture rice payoff high investment,False,True,False,False,False,False,True
46,49. so I'll do onions because I have a head start.,onion head start,False,False,True,True,False,True,True
47,"51. The government lets farmers know that certain fertilizers are for certain crops (e.g. DAP is for rice and horticulture producers, which includes formulas like 9920).",government let farmer know certain fertilizer certain crop dap rice horticulture producer include formula like,False,False,False,False,True,False,True
48,"52. Maybe for crops that aren't supported by credit, but most of the time they use fertilizer for rice, and when the cropping time comes from tomato and onion, they get fertilizer through the same system.",maybe crop support credit time use fertilizer rice cropping time come tomato onion get fertilizer system,True,False,False,False,False,False,True
49,53. The only change might be to work within the plot to create furrows (billons) to protect onions or tomatoes from too much water.,change might work within plot create furrow billon protect onion tomato much water,False,True,False,False,False,False,True
50,"54. But some farmers only plant in one season, and they either specialize in rice or in tomatoes or onions.",farmer plant one season either specialize rice tomato onion,False,False,False,True,False,False,True
51,"55. For the season we already know what crops are appropriate: Rice is appropriate or not, horticulture too.",season already know crop appropriate rice appropriate horticulture,True,False,False,False,False,False,True
52,"56. Third: availability of seeds: For horticulture tomatoes, onions, seeds are imported.",third availability seed horticulture tomatoe onion seed import,True,False,False,False,False,False,True
53,57. Now they extend to tomatoes.,extend tomato,True,False,False,False,False,False,True
54,"58. Finally, access to an industrial firm: Tomatoes and rice are the only things that have contracts between farmers and coops or processors.",finally access industrial firm tomato rice thing contract farmer cooperative processor,False,False,False,False,True,False,True
55,"59. only rice, peanuts, cotton, tomatoes facilitate access to credit (the mechanism isn't clear but the firm facilitates).",rice peanut cotton tomato facilitate access credit mechanism clear firm facilitate,False,False,False,False,True,False,True
