,stripped,readable
0,human ai collaboration study human artificial intelligence ai agent work together accomplish share goal,Human-AI collaboration is the study of how humans and artificial intelligence (AI) agents work together to accomplish a shared goal.
1,ai system aid human everything decision make task art creation,AI systems can aid humans in everything from decision making tasks to art creation.
2,example collaboration include medical decision make aids hate speech detection music generation,"Examples of collaboration include medical decision making aids., hate speech detection, and music generation."
3,ai system able tackle complex task study explore different model explanation technique improve human ai collaboration,"As AI systems are able to tackle more complex tasks, studies are exploring how different models and explanation techniques can improve human-AI collaboration."
4,human use ai output often want understand model give certain output,"When a human uses an AI's output, they often want to understand why a model gave a certain output."
5,model like decision tree inherently explainable black box model clear explanation,"While some models, like decision trees, are inherently explainable, black box models do not have clear explanations."
6,various explainable artificial intelligence method aim describe model output post hoc explanation visualization method often provide misleading false explanation,"Various Explainable artificial intelligence methods aim to describe model outputs with post-hoc explanations or visualizations, these methods can often provide misleading and false explanations."
7,study find explanation may improve performance human ai team simply increase human reliance model output,"Studies have also found that explanations may not improve the performance of a human-AI team, but simply increase a human's reliance on the model's output."
8,human trust ai agent important factor human ai collaboration dictate whether human follow override ai input,"A human's trust in an AI agent is an important factor in human-AI collaboration, dictating whether the human should follow or override the AI's input."
9,various factor impact person trust ai system include accuracy reliability,"Various factors impact a person's trust in an AI system, including its accuracy and reliability."
10,ture test originally call imitation game alan ture test machine ability exhibit intelligent behaviour equivalent indistinguishable human,"The Turing test, originally called the imitation game by Alan Turing in 1950, is a test of a machine's ability to exhibit intelligent behaviour equivalent to, or indistinguishable from, that of a human."
11,ture propose human evaluator would judge natural language conversation human machine design generate human like response,Turing proposed that a human evaluator would judge natural language conversations between a human and a machine designed to generate human-like responses.
12,evaluator would aware one two partner conversation machine participant would separate one another,"The evaluator would be aware that one of the two partners in conversation was a machine, and all participants would be separated from one another."
13,conversation would limit text channel computer keyboard screen result would depend machine ability render word speech,"The conversation would be limited to a text-only channel, such as a computer keyboard and screen, so the result would not depend on the machine's ability to render words as speech."
14,evaluator could reliably tell machine human machine would say pass test,"If the evaluator could not reliably tell the machine from the human, the machine would be said to have passed the test."
15,test result would depend machine ability give correct answer question closely answer resemble human would give,"The test results would not depend on the machine's ability to give correct answers to questions, only on how closely its answers resembled those a human would give."
16,test introduce ture paper computing machinery intelligence work university manchester,"The test was introduced by Turing in his 1950 paper ""Computing Machinery and Intelligence"" while working at the University of Manchester."
17,open word propose consider question machine think,"It opens with the words: ""I propose to consider the question, 'Can machines think?'"""
18,thinking difficult define ture choose replace question another closely related express relatively unambiguous word,"Because ""thinking"" is difficult to define, Turing chooses to ""replace the question by another, which is closely related to it and is expressed in relatively unambiguous words."""
