,stripped,readable
0,isra,ISRA.
1,prediction people seed need labor crop cultivate interested go peanut area,"predictions, when will people be seeding, when will they need labor, what crops they'll be cultivating; interested in going to the peanut area."
2,even dagana ssc still question much land cultivate vary year year,"Even in dagana in ssc there's still the question of how much land will be cultivated, which varies from year to year."
3,interested socio economic factor,Also interested in socio-economic factors.
4,principal mandate translate result extension advise farmer,"Principal mandate is to translate results to extension, to advise farmers."
5,example subsidy program could inform result,"For example, the subsidy program could be informed by our results."
6,price rice al price other,"The price of rice are these al the prices, or are there others?"
7,yes talk paddy price mostl negotiation among different stakeholder,"Yes, you were talking about paddy price, this is mostl negotiation among different stakeholders."
8,paddy price roof price people refer,The paddy price is a roof price so people can refer to it.
9,different retailer banabana,"You have different retailers, you have banabanas."
10,case stakeholder pay paddy price,It's not the case that all stakeholders will pay the paddy price.
11,sell two three bag ok price may high lot price may go,"If you are selling two or three bags, ok, the price may be higher, or if you have a lot, the price may be going down."
12,market,It's the market.
13,even though set price vary,"Even though there;s a set price, it varies."
14,milling stage white rice compete wth import rice,"Now at the milling stage you have white rice, and it's competing wth the imported rice."
15,import rice break rice whole grain rice,The most imported rice is broken rice but you also have whole grain rice.
16,latter compete local rice,The latter competes with local rice.
17,local rice mostly whole grain,Local rice is mostly whole grain.
18,parallel market local broken rice small,There's a parallel market for local broken rice but it's small.
19,local whole grain rice ever compete import broken rice,Does local whole grain rice ever compete with imported broken rice?
20,yes everything compete import rice consumed rice break rice,"Yes, everything competes with imported rice, but the most consumed rice is broken rice."
21,effect high temperature india,What will be the effects of high temperatures in india.
22,suppose export less,Suppose they export less.
23,price go,Will the price go up?
24,yes,Yes!
25,senegal compete marginal market,Senegal is competing in a marginal market.
26,high risk senegalese consumer something happen rice particularly india,"The higher risk for the Senegalese consumer is if something happens to rice, particularly India."
27,pakistan rice ghana rice,There's also Pakistan rice and Ghana rice.
28,problem trading aspect broken rice ready commercialize main advantage,"The problem is in the trading aspect: The broken rice is ready to be commercialized, that's the main advantage."
29,affect affect consumer,"If it's affected, then it will affect the consumers."
30,unless substitute rice,Unless we have substitute rice .
31,price indian rice go consumer switch local rice,"If the price of indian rice go up, will consumers switch to local rice?"
32,problem,That's a problem.
33,gos push farmer produce,The GoS is pushing farmers to produce more.
34,still national demand coveree,"But we are still under national demand, covereing only 20-30%."
35,rest mostly india,So the rest is mostly from India.
36,issue fr gos subsidize price import rice,And now the issue is fr the GoS to subsidize the price of imported rice.
37,riot street gos import rice,"We had riots in the streets, so the GoS is imported rice."
38, mo local production people eat import rice,"We have only 1-2 mo of local production, so people have to eat imported rice."
39,even local rice people always see,"Even when we have local rice, people don't always see it."
40,subsidy one time isit common,Is that subsidy one-time or isit common?
41,gos say importer pay another program support long time,"The GoS said the importers will be paid through another program, but they couldn't support it for a long time."
42,past tey mo,In the past tey had to do it for 3-4 mo.
43,war ukraine russia right freeze gas price gas distriribution system price set commission oil price affect local price,"But now we have the war between ukraine and russia...Right now we freeze gas prices and we have a gas distriribution system, the price is set by a commission, so the oil prices won't affect local prices."
44,mechanism unclear,<< The mechanism was unclear >>.
45,go cap price gas able subsidize rice well rich country face international crisis oil price go price go,"If the GoS caps the price of gas, will they be able to subsidize rice Well we are not a rich country but we are facing an international crisis and if oil prices go up then all other prices will go up."
46,increase local production must subsidize farmer loss import price,But also to increase local production they must subsidize farmers for the losses because of import prices.
47,rioting happen yes may happen,"Will rioting happen again Yes, it may happen."
48,know happen,We don't know what will happen.
49,long run nothing do high price food,"In the long run, if nothing is done, we will have higher prices of food."
50,look next six month look allegra picture important price term stability import price rice,"If you are looking at the next six months, and you look at Allegra's picture, which is the most important price in terms of stability The imported price of rice."
51,everything follow,Everything follows from there.
52,reflect directly consumer,It reflects directly to consumers.
53,one gos take care,It's the one that the GoS will be taking care of.
54,domestc import price compare local cheap sometimes high,"How does domestc and imported prices compare No, local isn't cheaper, sometimes it is higher."
55,depend marketing strategy,Depends on the marketing strategy.
56,bag local rice cost rather,Now a bag of local rice can cost 20 rather than 15.
57,mostly whole grain,Mostly for whole grain.
58,broken rice f look import price depend india pakistani level production,"For broken rice, it's between 5-10 F If you look at import prices, it depends on India and Pakistani (25%) levels of production."
59,break rice product india pakistan,Broken rice is a by-product in India and Pakistan.
60,reality broken rice go animal feed,The reality is that most broken rice goes to animal feed.
61,marginal market broken rice,We have a very marginal market for broken rice.
62,marginal market mean small fraction rice market world rice market first thing go yes transportation issue,"Marginal market means it is a small fraction of rice market, between 4-7% of the world rice market So is it the ""first thing to go"" Yes, and you have transportation issues too."
63,price would go,And then the price would be going up.
64,oil price go transportation cost go might worth export rice,If oil prices go up then transportation costs will go up and it might not be worth exporting rice.
65,pump,And pumps?
66,yes people need oil irrigation milling price oil cause people cause delay,"Yes, people need oil for irrigation, milling... Will the price of oil cause people to cause delays?"
67,yes might induce effort reduce oil may delay plant,"Yes, it might induce efforts to reduce oil, it may delay planting."
68,predict import price every three month,Predict import prices every three months.
69, necessarily correct period time right consider stock,It isn't necessarily the correct period of time but it's right when we consider stocks.
70,government stock mainly rice millet sorghum,"The government stock is mainly rice, millet and sorghum."
71,importer stock,The importers also have their own stocks.
72,anyone tryin predict import price,Is anyone tryin to predict import prices?
73,know,I don't know.
74,know use unit commission agriculture ministry disband get open market,I know that we used to have a unit or commission in the agriculture ministry but they are disbanded when we got an open market.
75,could predict import price isra bam would interested,If you could predict import prices then ISRA and BAM would be interested.
76,bam mandate kind research,BAM has a mandate of doing this kind of research.
77,ifpri kind analysis,IFPRI is also doing this kind of analysis.
78,clarify study retrospectively prediction tool,But I have to clarify: They study retrospectively but not as a prediction tool.
79,yes paddy increase,"Yes, paddy increased by 20%."
80,yes kg,"YEs, we're now at 150kg."
81,yes concern cost production milling commercialization,"Yes, there's a concern about the cost of production and milling and commercialization."
82, come calculation nothing strange come factor measure,"The 20% comes from the calculations, nothing strange about it, it comes from all the factors they measure."
83,subsidy change government ability pay,The subsidies also change by the government's ability to pay.
84,accept principle shift subsidy input paddy price,Now they have accepted the principle of shifting the subsidy from inputs to paddy price.
85, easy put subsidy paddy rice go farmer miller,"It wouldn't be easy to put a subsidy on paddy because the rice goes through farmers, millers, etc."
86,subsidy fertilizer deal handful importer paddy deal thousand,"If the subsidy is on fertilizers, then you deal with only a handful of importers, but if it's on paddy, you deal with thousands."
87,csa price vary,Why do the CSA prices vary .
88,local price depend many factor price transprotation cost number vendor operator csa measure thing locally,"Local prices depend on many factors, not only prices but also transprotation costs, the number of vendors and operators, that's why CSA measures things locally."
89,weekly basis,On a weekly basis.
90,past csa enumerator would go big market area,"In the past, CSA enumerators would go to the biggest markets in each area."
91,could predict price market level would able predict people might riot know purchase power low low middle class,If you could predict price at the market level would you be able to predict where people might riot We know that the purchasing power is very low for the lower and middle class.
92,double actual price yeah riot,"If you double the actual price, yeah, it'll be riots."
93,last riot price double time cfa,"The last riot we had, the prices doubled -- at the time it was 250-350CFA."
94,cfa,Now we're at 400CFA.
95,price go would would trouble,If the price goes to 800 or 1000 then you would would have trouble.
96,rural area problem people switch rice millet sorghum,In the rural areas its not a problem because people can switch from rice to millet and sorghum.
97,poor people city main source food,"But the poor people in the cities, that's their main source of food."
98, urban consumer,That's 80% of urban consumers.
99,consumption habit let shift sorghum maize,The consumption habit doesn't let them shift to sorghum and maize.
100,way cook different,The way you cook it is different.
101,transport along channel available aand city near center millet sorghum production see urban consumption people mostly eat rice,"They are transported along the same channels, so they are available, aand in the cities near centers of millet and sorghum production you see urban consumption, but people mostly eat rice."
102,rice cost millet sorghum peanut basin check importer point view good stock,"Rice costs more than millet and sorghum in the peanut basin (check this) From the importer's point of view, it's good to have stocks."
103,sell advantageous,Then they sell it when it's advantageous.
