,stripped,readable
0,farmer horticulture subsistence rice planting without loan,Farmers will do horticulture for subsistence but not rice planting without a loan.
1,mr grow tomato last year cold dry season make good profit,Mr. D grew tomatoes in last year's colddry season and made a good profit.
2,must notice rice tomato grow time,We must notice that rice and tomatoes are not grown at the same time.
3,farmer might rice result might miss cropping season tomato,A farmer might do rice and then as a result he might miss the cropping season for tomatoes.
4,farmer harvest paddy rice late able start tomato cold dry season,"If a farmer harvests paddy rice late, he won't be able to start tomatoes in the colddry season."
5,farmer good price tomato last season matter government say rice grow tomato think profit even though rice subsidize,"If a farmer had a good price for tomatoes last season, no matter what the government says about rice, he will grow tomatoes again because he's thinking about the profits, even though the rice is subsidized."
6,expect profit tomato high matter government incentivize rice,"If the expected profit for tomatoes is higher, it doesn't matter what the government does to incentivize rice."
7,half hectare tomato earn almost twice much farmer one hectare rice,A half hectare of tomatoes earns almost twice as much for the farmer than one hectare of rice.
8,input tomato high,But the inputs for tomatoes are higher.
9,last year tomato sell high price many mr neighbor already plant tomato year,"Last year, tomatoes sold at a high price and many of Mr. D's neighbors have already planted tomatoes this year."
10,tomato one crop access credit get credit might go tomato,"Tomatoes is one of the crops with access to credit, so if you can get credit, you might go for tomatoes."
11,farmer compare expect profit tomato increase price seed determine whether seed price high,Farmers will compare the expected profit of tomatoes to the increasing price of seed to determine whether that seed price is too high.
12,dr fall would expect majority farmer would go tomato price tomato seed probably much compare expect profit,"Dr. Fall would expect the majority of farmers would go for tomatoes, because the price of tomato seed probably wouldn't be so much compared to the expected profit."
13,last year good year tomato farmer expect thing year price seed get high enough cut profit,"Last year was a good year for tomatoes, so farmers expect the same thing this year, and the price of seed just can't get high enough to cut into the profits."
14,dr fall expect farmer go tomato,Dr. Fall expects 50 to 60% of farmers to go for tomatoes.
15,farmer might emphasize tomato cold dry season expect high price order get enough cash afford food high price,"Farmers might emphasize tomatoes this colddry season, expecting a high price, in order to get enough cash to afford other foods at their high prices."
16,sometimes people sell tomato pay back credit rice,Sometimes people sell tomatoes to pay back credit for rice.
17,grow tomato cold dry season paddy rainy season keep paddy consumption order surplus cash rice,"Growing tomatoes in the colddry season and paddy in the rainy season, keeping more paddy for consumption, in order to have a surplus of both cash and rice."
18,farmer grow tomato rice benefit prevent hunger interested national big picture,"Farmers are growing more tomatoes and rice for their own benefit and to prevent their own hunger, but also because they're interested in the national big picture."
19,tomato need right type soil,But for tomatoes you need the right type of soil.
20,cooperative leader really direct area might influence crop switch one crop another information fertilizer oh leader grow onion maybe follow,"Coop leaders don't really direct what the area is, but they might influence what to crop, how to switch from one crop to another; they have information about fertilizer, etc.. Oh, the leader is growing onion, so maybe I will follow."
21,mainly onion vegetable,This is mainly for onions and for some other vegetables.
22,tomato industry work farmer buy local production even though always capable buy production still good market,"But for tomatoes, there's an industry working with farmers to buy local production, and even though it's not always capable of buying all the production, there's still a good market."
23,onion farmer cooperative lobby pressure government grace period harvest import stop month domestic producer sell import allow,"But for onions, the farmers being in cooperatives, they lobby to pressure the government for a grace period after harvest where imports are stopped, e.g. a month in which domestic producers can sell before imports are allowed."
24,agency horticulture crop,This agency is all for horticulture crops.
25,effort promotion local rice sometimes increase tax rate importer rice mechanism quite different onion import market,"There's some effort for promotion of local rice, and sometimes they increase the tax rate of importers for rice, but the mechanism is quite different than the onion import market."
26,onion grower cooperative nation wide power pressure government,Onion Growers' Cooperative is nation-wide so they have the power to pressure the government.
27,srv production podor niaye zone main horticulture zone onion dakar st louis,"Most of them are in the SRV because most production is in Podor, but there's also the Niaye zone that's the main horticulture zone that has onion too (Dakar to St. Louis)."
28,tomato industry rice industry miller export horticulture,"Tomato industry, rice industry, millers, export horticulture."
29,harvest time rice harvest rice correspond seed period horticulture cropping,"But during harvest time for rice, harvest for rice corresponds to seeding period for horticulture croppings."
30,farm need labor horticulture may compete farm need harvest labor,"So if those farms need labor for horticulture, they may compete with farms that need harvest labor."
31,agribusinesse like tomato canning industry regular labor,Also agribusinesses like the tomato canning industry have their own regular labor.
32,something else horticulture competition right catch,(Something else about horticulture competition right after this but I didn't catch it.)
33,"cold dry ssf end november december beginning february horticulture 

 rainy season vary mid june sept july mid october depend rain",Colddry (SSF): End of November  December into beginning of February (horticulture)Rainy season can vary between mid-June - Sept or July through mid-October depending on the rains.
34,could see horticulture harvest around january early february would see lot farm onion tomato,We could see horticulture harvests around January and early February (we would see a lot of farms doing onions and tomatoes).
35,care miller would come around april would see rice farm commercialization cold dry horticulture crop,"If we just care about millers, etc., we would come around April where we would see rice on the farm and the commercialization of colddry horticulture crops."
36,feb april would see remnant commercialization onion tomato plus growth hot dry rice,"Feb-April we would see the remnants of commercialization of onions and tomatoes, plus the growth of hotdry rice."
37,look reimbursement table note onion,We're looking at the reimbursement table again (note: for onions!!).
38,bulletin say remain credit come credit loan onion suppose pay june six month onion harvest full credit reimbursement,"The bulletin says the remaining credit comes from credit loaned on onions, which is supposed to be paid by June six months between onion harvest and full credit reimbursement!"
39,cold season plant horticulture season rice,"Cold season, you plant horticulture, the other season you do rice."
40,farmer prefer horticulture cold season time sell start rice rainy season,So some farmers prefer to do horticulture in cold season so there's time to sell and start rice in the rainy season.
41,year farmer want grow potato go onion,"Now, this year, farmers don't want to grow potatoes; they've gone to onion."
42,horticulture commercialization,Horticulture is all for commercialization.
43,rice subsistence horticulture market,20 - 30% of rice is for subsistence but horticulture is for market.
44,get credit horticulture government priority,You don't get credit for horticulture because it's not a government priority.
45,tomato industry similar system extension bank onion tie private sector organization trader credit,"For the tomato industry, there's a similar system with SAED and banks, but onion isn't tied to any private sector organizations (just traders), so there isn't credit."
46,cotton peanut rice tomato crop easy access credit,"Cotton, peanut, rice and tomatoes are the only crops with easy access to credit."
47,get credit maybe pay horticulture good option might make money even rice,"If you can't get credit (maybe because you didn't pay), then horticulture is a good option because you might make more money even than rice."
48,input expensive horticulture rice payoff high investment,"But inputs are more expensive for horticulture than rice, so the payoff is higher but so is the investment."
49,onion head start,so I'll do onions because I have a head start.
50,divide five department horticulture fishery forestry livestock health animal science social science politic focus macroeconomic policy,"Divided into five departments: Horticulture, fishery, forestry, livestock health and animal science, and social science & politics that focuses on macroeconomics and policy."
51,government let farmer know certain fertilizer certain crop dap rice horticulture producer include formula like,"The government lets farmers know that certain fertilizers are for certain crops (e.g. DAP is for rice and horticulture producers, which includes formulas like 9920)."
52,maybe crop support credit time use fertilizer rice cropping time come tomato onion get fertilizer system,"Maybe for crops that aren't supported by credit, but most of the time they use fertilizer for rice, and when the cropping time comes from tomato and onion, they get fertilizer through the same system."
53,change might work within plot create furrow billon protect onion tomato much water,The only change might be to work within the plot to create furrows (billons) to protect onions or tomatoes from too much water.
54,double crop rice yes sometimes grow vegetable season,"If you're not double cropping rice, then yes, sometimes you grow vegetables in the off season."
55,farmer plant one season either specialize rice tomato onion,"But some farmers only plant in one season, and they either specialize in rice or in tomatoes or onions."
56,season already know crop appropriate rice appropriate horticulture,"For the season we already know what crops are appropriate: Rice is appropriate or not, horticulture too."
57,third availability seed horticulture tomatoe onion seed import,"Third: availability of seeds: For horticulture tomatoes, onions, seeds are imported."
58,rice vegetable,Not for rice but for vegetables.
59,extend tomato,Now they extend to tomatoes.
60,finally access industrial firm tomato rice thing contract farmer cooperative processor,"Finally, access to an industrial firm: Tomatoes and rice are the only things that have contracts between farmers and coops or processors."
61,rice peanut cotton tomato facilitate access credit mechanism clear firm facilitate,"only rice, peanuts, cotton, tomatoes facilitate access to credit (the mechanism isn't clear but the firm facilitates)."
62,saving might go contrarian plant onion plant everyone else plant need access credit tomatoe price low,"If you have savings, you might go contrarian and plant onions; if you are planting what everyone else plants because they need access to credit (e.g., tomatoes), your prices will be low."
63,know happen last season last year everyone plant onion price low probably change,"If you know what happened last season: If last year everyone planted onions but prices were low, then they'll probably change."
64,farmer imitative go tomato perhaps someone else go onion,Farmers are imitative : If you go for tomatoes then perhaps someone else will go for onions.
65,seed operator tomato onion b c seed import seed potato see local industry,"We don't have seed operators for tomatoes, onions, etc bc these seeds are imported; seed potatoes are seeing a local industry"
66,rice maize peanut cold dry season vegetable,"it's rice, maize, peanut; in cold dry season it's vegetables."
67,see farmer horticulture like salad tomato,He's seen farmers doing horticulture like salad and tomato
68,horticulture instead rice horticulture rice two different plot,"but it's not horticulture instead of rice, it's horticulture AND rice on two different plots."
69,ancar srv leave rice advise extension handle horticulture srv,"ANCAR is also in the SRV, but it leaves the rice advising to SAED and handles horticulture in the SRV."
70,ndiaye horticulture region kaolack,"In Ndiaye the horticulture region, Kaolack, etc."
71,tomato mostly dagana onion suppose podor dr fall confirm datum confirm expectation,Tomato is mostly in Dagana and the onions are supposed to be Podor (Dr Fall confirms the data confirm his expectations.)
72,"value chain 
 onion glut",_Value chain__Onion glut
73,yes guess constraint cheryl mention real exist onion vc,"Yes, he guesses all those constraints Cheryl mentioned are real, they exist in the onion VC."
74,lot farmer pick onion economically profitable rice,Lots of farmers picked onions because it's more economically profitable than rice.
75,government support market regulation stop import onion local onion sell,There's also government support through market regulation (stopping import of onions until local onions are sold.)
