	belief	title	author	year
0	Based on an evaluation of nine criteria, these centers were expected to transition to regional centers of excellence.	Special Edition: Senegalese Agriculture more Resilient as a result of WAAPP	WAAPP REGIONAL, IMPACT e-NEWSLETTER	2018
1	Experts argue that if urgent measures are not taken, small-scale farmers are likely to suffer the most.	Special Edition: Senegalese Agriculture more Resilient as a result of WAAPP	WAAPP REGIONAL, IMPACT e-NEWSLETTER	2018
2	"These are well suited to producers,"" says WAAPP Senegal."	Special Edition: Senegalese Agriculture more Resilient as a result of WAAPP	WAAPP REGIONAL, IMPACT e-NEWSLETTER	2018
3	"But now, our yields can last throughout the year and even more,"" says 50-year old Ndeye Diouf of Ngoungoul."	Special Edition: Senegalese Agriculture more Resilient as a result of WAAPP	WAAPP REGIONAL, IMPACT e-NEWSLETTER	2018
4	A local group of about ten women and a man are among the pioneer adopters of the SRI practice.	Special Edition: Senegalese Agriculture more Resilient as a result of WAAPP	WAAPP REGIONAL, IMPACT e-NEWSLETTER	2018
5	Farmers here seem to be aware of the pluses of SRI.	Special Edition: Senegalese Agriculture more Resilient as a result of WAAPP	WAAPP REGIONAL, IMPACT e-NEWSLETTER	2018
6	I n Pout, about 50 kilometers East from the Senegalese capital, about 2400 women have come together to seize the fresh business opportunities in the dry cereals and	Special Edition: Senegalese Agriculture more Resilient as a result of WAAPP	WAAPP REGIONAL, IMPACT e-NEWSLETTER	2018
7	But as the demand rises including from Auchan, one of Senegal's largest grocery food store, the women find themselves unable to meet expectations in part of because of the lack of a revolving fund.	Special Edition: Senegalese Agriculture more Resilient as a result of WAAPP	WAAPP REGIONAL, IMPACT e-NEWSLETTER	2018
8	Agro-processors are expected to comply with stringent hygienic and quality assurance regulations in Senegal.	Special Edition: Senegalese Agriculture more Resilient as a result of WAAPP	WAAPP REGIONAL, IMPACT e-NEWSLETTER	2018
9	Senegal has long considered the cassava sector as one which can contribute to boosting its economy, increase the incomes of actors, and strengthen the food and nutrition security of its people.	Special Edition: Senegalese Agriculture more Resilient as a result of WAAPP	WAAPP REGIONAL, IMPACT e-NEWSLETTER	2018
10	Some of the priced varieties from Ghana include Ampong, Broni, Sika, Bankyehemaa, and Otuhia.	Special Edition: Senegalese Agriculture more Resilient as a result of WAAPP	WAAPP REGIONAL, IMPACT e-NEWSLETTER	2018
11	"If 10% of this cassava flour is incorporated in the flour for bread, it will reduce the bill of 120 billion FCFA spent by Senegal importing of 2.500 tons of flour a day to make bread,"" argued Ibrahima Wade, one of the leading proponents of the country's drive to accelerated Growth."	Special Edition: Senegalese Agriculture more Resilient as a result of WAAPP	WAAPP REGIONAL, IMPACT e-NEWSLETTER	2018
12	"With transformation, it will boost production, create jobs for women, and reduce imports,"" says Assane Ndiaye."	Special Edition: Senegalese Agriculture more Resilient as a result of WAAPP	WAAPP REGIONAL, IMPACT e-NEWSLETTER	2018
13	While WAAPP Senegal has invested considerable sums in empowering actors and strengthening the cassava sector, the women group of Tivaouane are looking to increase the production.	Special Edition: Senegalese Agriculture more Resilient as a result of WAAPP	WAAPP REGIONAL, IMPACT e-NEWSLETTER	2018
14	Niger agreed to lead research on livestock for the West Africa region.	Special Edition: Senegalese Agriculture more Resilient as a result of WAAPP	WAAPP REGIONAL, IMPACT e-NEWSLETTER	2018
15	Speaking at the end of a routine institutional support mission (ISM) at CORAF's Headquarters in Dakar, Senegal, on Thursday, November 8, 2018, Dr. Abdoulaye Toure, Lead Agriculture Economist at the World Bank praised the state of progress of WAAPP.	Special Edition: Senegalese Agriculture more Resilient as a result of WAAPP	WAAPP REGIONAL, IMPACT e-NEWSLETTER	2018
16	He praised the new strategic direction of CORAF which according to him has renewed confidence in CORAF.	Special Edition: Senegalese Agriculture more Resilient as a result of WAAPP	WAAPP REGIONAL, IMPACT e-NEWSLETTER	2018
17	Operations are expected to close in December 2019 for these countries.	Special Edition: Senegalese Agriculture more Resilient as a result of WAAPP	WAAPP REGIONAL, IMPACT e-NEWSLETTER	2018
18	Women and youths are central to the new program which is expected to go operational in 2019.	Special Edition: Senegalese Agriculture more Resilient as a result of WAAPP	WAAPP REGIONAL, IMPACT e-NEWSLETTER	2018
19	WAAPP acknowledged that these varieties have immense potential and could be taken up in West Africa especially by the Maize Regional Center of Specialization based in Benin.	Special Edition: Senegalese Agriculture more Resilient as a result of WAAPP	WAAPP REGIONAL, IMPACT e-NEWSLETTER	2018
20	There is increasing rice and millet substitution in the Senegalese diet as urban consumers prefer rice.	The Role of Food Reserves in Enhancing Food Security: The Experience of Senegal	Dr. Ibrahima Hathie	2019
21	As expected, the share of expenditure on food is higher among households located in the eastern and southern part of the country: Tambacounda (64%), Kedougou (60%), Kolda (59%), Sedhiou (55%), Matam and Ziguinchor	The Role of Food Reserves in Enhancing Food Security: The Experience of Senegal	Dr. Ibrahima Hathie	2019
22	It is expected that more than 407,500 children under 5 years will suffer from acute malnutrition in 2016, including 86,026 from severe acute malnutrition.	The Role of Food Reserves in Enhancing Food Security: The Experience of Senegal	Dr. Ibrahima Hathie	2019
23	In Tambacounda, Kolda, and Kedougou, 23 to 27% of households spend more than 75% of their budget on food.	The Role of Food Reserves in Enhancing Food Security: The Experience of Senegal	Dr. Ibrahima Hathie	2019
24	Senegal aimed to achieve rice self-sufficiency by 2017 with production targets of 1.6 million MT of paddy.	The Role of Food Reserves in Enhancing Food Security: The Experience of Senegal	Dr. Ibrahima Hathie	2019
25	The CPSP distributed rice inside the country through SONADIS, (a parastatal specialised in distribution) and private traders who were quota holders.	The Role of Food Reserves in Enhancing Food Security: The Experience of Senegal	Dr. Ibrahima Hathie	2019
26	The government encourages the use of locally produced rice, but suppliers usually complain about logistical constraints due to dispersed production and high costs for its aggregation.	The Role of Food Reserves in Enhancing Food Security: The Experience of Senegal	Dr. Ibrahima Hathie	2019
27	"In terms of tools, ""cash & voucher modalities are preferred considering the sizeable amount of cash that is injected into the local economy each time a value voucher transfer takes place."	The Role of Food Reserves in Enhancing Food Security: The Experience of Senegal	Dr. Ibrahima Hathie	2019
28	The first part discusses the problems that beset the river valley following the construction of the Manantali and Diama dams under a legal regime created in 1972 and lauded as developing the most progressive river management institution.	The Senegal River Basin: A Retrospective and Prospective Look at the Legal Regime	Margaret J. Vick	2019
29	"The permanent pools of fresh water in the riverbed and irrigation canals (without the traditional river cycle with a dry riverbed and saltwater intrusion upstream) created the optimum conditions for the host snails to thrive.32 A study of the people living along the lower reaches of the river, conducted six years after the dams became operational, indicates that ""[bly 1994 a significant proportion (more than 90 percent) of the population living along the Diama reservoir was infested."	The Senegal River Basin: A Retrospective and Prospective Look at the Legal Regime	Margaret J. Vick	2019
30	The people were free to spend time herding livestock, fishing, and gathering wood from the acacia trees for charcoal or construction and to participate in other domestic activities.	The Senegal River Basin: A Retrospective and Prospective Look at the Legal Regime	Margaret J. Vick	2019
31	Despite more than ten centuries of continuous use, it continues to this day to produce crops with no evidence of soil degradation.44 Reports indicate that in the early years of dam operation the OMVS planned to release water from Manantali Dam to artificially replicate the annual floods.	The Senegal River Basin: A Retrospective and Prospective Look at the Legal Regime	Margaret J. Vick	2019
32	Changing environmental conditions in dryland areas exacerbate land degradation and food insecurity in many sub-Saharan African nations.Multi-purpose tree species such as Senegalia senegal (L.) Britton, are favored for reforestation and land reclamation as compared to single-use species.	Senegalia senegal (synonym: Acacia senegal), its importance to sub-Saharan Africa, and its relationship with a wide range of symbiotic soil microorganisms	N. Bakhoum, F. Diouf, D. Balachandar, D. Diouf	2018
33	Senegalia senegal, which has the potential to restore degraded soils and to be used for agroforestry, is both economically and ecologically important for the dry areas of sub-Saharan Africa because it produces gum arabic, an important commodity crop for smallholder farmers; it succeeds where other crops fail.	Senegalia senegal (synonym: Acacia senegal), its importance to sub-Saharan Africa, and its relationship with a wide range of symbiotic soil microorganisms	N. Bakhoum, F. Diouf, D. Balachandar, D. Diouf	2018
