,stripped,readable
0,isaac shinyekwa head trade regional integration department makerere university base economic policy research centre eprc however say decision welcome argue country world develop without protect local firm,"Isaac Shinyekwa, the head of Trade and Regional Integration Department at the Makerere University-based Economic Policy Research Centre (EPRC), however, said the decision is welcome arguing that there is no country in the world that has developed without protecting its local firms."
1,already kampala,We already did this in Kampala.
2,two year project launch masaka wednesday aim improve livelihood fishing community especially woman youth,"The two-year project, launched in Masaka on Wednesday, aims at improving the livelihoods of fishing communities, especially women and youths."
3,talk karamoja area attempt introduce cash crop,"I do not have to talk of Karamoja because for that area, there was no attempt to introduce any cash crop at all."
4,alebtong district woman mp christine ayo acen say member parliament compare civil servant since elect representative constituent different expectation,"Alebtong District Woman MP, Christine Ayo Acen says that Members of Parliament cannot be compared to other civil servants since they are elected representatives and their constituents have different expectations from them."
5,ruan say tecno sell million unit phone east africa uganda take three four million phone,Ruan said that Tecno is selling 25 million units of phones in East Africa and Uganda takes between three and four million phones.
6,uganda move towards commercial oil production yet international panel climate change ipcc datum show fossil fuel oil increase climate change pollution add greenhouse gas emission,Uganda is also moving towards commercial oil production and yet the International Panel on Climate Change (IPCC) data shows that fossil fuels such as oil will increase climate change through pollution and add to greenhouse gas emissions.
7,impact get visible few earning rwanda,The impact is getting visible with fewer earnings from Rwanda.
8,consignment since return uganda attorney general william byaruhanga say agr lawfully import gold,The consignment has since been returned after Uganda s attorney general William Byaruhanga said AGR had lawfully imported the gold.
9,statement uganda bizarrely say object foreign interference domestic affair country hong kong china,"In the same statement, Uganda bizarrely said it objects to any foreign interference into the domestic affairs of other countries [Hong Kong and China]."
10, mind mention somalia eye consequence uganda,He doesn't mind to mention Somalia because in his own eyes there will be no consequence to Uganda.
11,sahiwal breed thrive well arid semi arid area karamoja,The Sahiwal breed thrives well in arid and semi-arid areas such as Karamoja.
12,today president yoweri museveni commission three assembly line employ ugandan assemble piece analog phone fit blue tooth camera low emission diode bulb torch brand make uganda,"Today, President Yoweri Museveni commissioned three assembly lines employing 100 Ugandans and assembling 500 pieces of 2G Analog Phones fitted with blue tooth, Camera and a Low Emission Diode bulbs or torch and branded Made in Uganda."
13,good rebase help country know resource facilitate country planning say paul lakuma research fellow macroeconomic department economic policy research centre makerere university country know resource may even end borrow money abroad would source locally," It is good to rebase because it helps a country to know the resources it has and this facilitates a country s planning, said Paul Lakuma; a Research Fellow at the Macroeconomic department at the Economic Policy research Centre, Makerere University, If a country doesn t know the resources that it has, it may even end up borrowing money abroad that would have been sourced locally."
14,traverse gently undulate grass farmland hill open plateaus open grassland wetland gomba ssembabule district relatively flat landscape towards mutukula near border tanzania,"It will also traverse gently undulating grass and farmland, hills with open plateaus, open grassland, wetlands in Gomba and Ssembabule districts and a relatively flat landscape towards Mutukula near the border with Tanzania."
15,challenge uganda private sector dominate few large scale firm control half manufacturing processing," Because of challenges, Uganda s private sector is dominated by fewer than 30 large-scale firms, which control more than half of all manufacturing and processing."
16,end november president museveni meet total p top executive state house entebbe,"At the end of November, President Museveni again met Total E&P top executives at State House Entebbe."
17,land kisozi,I have land in Kisozi.
18,stephen ssebunya mutukula town council chairperson complain police continue unauthorized movement uninspecte cattle area,"Stephen Ssebunya, the Mutukula town council chairperson complained to police about the continued unauthorized movement uninspected cattle in the area."
19,wednesday october sophia arrive murchison national park together two fellow student tour guide driver meet kampala,"On Wednesday October 28, Sophia arrived at Murchison National Park together with two fellow students and their tour guide, also driver; they had met in Kampala."
20,sub county sebei neither primary secondary school, There are 10 sub-counties in Sebei where there is neither a primary nor secondary school.
21,say visit interrupt communication ministry finance permanent secretary keith muhakanizi speaker parliament stop mp go lubowa hospital,She says that the visit was interrupted by a communication from the Ministry of Finance Permanent Secretary Keith Muhakanizi to the Speaker of Parliament to stop MPs from going to Lubowa hospital.
22,national environment management authority nema defend ongoing rice grow sand mining activity lwera wetland despite uproar area leader civil society organization general public,"The National Environment Management Authority (NEMA) has defended the ongoing rice growing and sand mining activities in Lwera wetland despite uproar from area leaders, civil society organizations and the general public."
23,example kigezi bank commerce start help develop kigezi area struggle remain open minimum capital require increase billion billion,"For example, Kigezi Bank of Commerce which we had started to help in developing Kigezi area struggled to remain open when the minimum capital required was increased from 2 billion to 5 billion."
24,listen achola one christine nyaketcho ordeal tororo last week head office austrian development agency dr roswitha kremser say testimony two young lady sad moment,"Having listened to Achola and one Christine Nyaketcho s ordeals in Tororo last week, the head of office of the Austrian Development Agency, Dr Roswitha Kremser, said: The testimonies of the two young ladies are very sad moments for me."
25,statistic fao show household benefit project far high plan target household moyo yumbe district,"Statistics from FAO show that more than 1,500 households benefited from the project, far higher than the planned target of 900 households in Moyo and Yumbe Districts."
26,hugo say collaborate former nakapiripirit mayor hillary topoh area lc charmin kalisto lokol,"Hugo is said to have collaborated with the then former Nakapiripirit mayor, Hillary Topoh and the area LC 1 charmin Kalisto Lokol."
27,uganda small farmer still face raft challenge beg intervention government help,"In Uganda, smaller farmers are still facing a raft of challenges, which begs intervention of government to help them."
28,say speak soni kainja primary school play ground kirewa sub county tororo district fund raising drive complete construction st maria gorreti church tuesday,"He said this while speaking at Soni-Kainja primary school play grounds in Kirewa Sub County, Tororo district during a fund-raising drive to complete the construction of St Maria Gorreti Church on Tuesday."
29,government uganda consider shooting incident grave matter although late victim rwandan constitute pattern reckless high hand act part rwanda security personnel simple ordinary people live along common border," The Government of Uganda considers the shooting incident a grave matter and that although the latest victim is Rwandan, it constitutes a pattern of reckless and high-handed acts on the part of Rwanda security personnel, against simple, ordinary people that live along the common border."
30,pian upe game reserve nakapiripirit district among ugandan wildlife sanctuary visit,Pian Upe game reserve in Nakapiripirit district is among the very few Ugandan wildlife sanctuaries I have not visited.
31,rent office ham tower wandegeya come ghetto namungoona,He also rents an office at Ham towers in Wandegeya for those who cannot come to ghettos of Namungoona.
32,shooting run back uganda territory safety,After the shooting he ran back into Uganda territory for his safety.
33,fish farmer mainly deal cage fish farming pond within namayingo district report death tilapia cite strange illness spread high rate fish reproduce,"Fish farmers mainly those dealing in cage fish farming and ponds within Namayingo district have also reported death of tilapia, citing a strange illness which spreads on a high rate as the fish reproduces."
34,like early note uganda government still look money earning,"Like earlier noted, Uganda s government still looked at this money as an earning."
35,drop school start work food factory tororo loader impregnate, I dropped out of school and started working at a food factory in Tororo where a loader impregnated me.
36,accord ssali african development bank african development fund sign final contract construction mpigi expressway unra say joint venture june,"According to Ssali, the African Development Bank and African Development Fund signed the final contract for the construction of Mpigi expressway with UNRA and the said joint venture on June 18, 2019."
37,say suspect reportedly sell bullet shilling lady identify irene resident lajang village pajimo parish labongo akwang sub county unknown day,"He says the suspects reportedly sold 16 bullets each at 5,000 shillings to a lady identified only as Irene, a resident of Lajang village in Pajimo parish in Labongo Akwang sub county on unknown day."
38,cathedral build commemorate year orthodox church uganda,The cathedral will be built to commemorate 100 years of the Orthodox Church in Uganda.
39,first time visit usa october invitation president ronald reagan year old personal journey already reach climax president uganda,"The first time I visited the USA in October 1987, on the invitation of President Ronald Reagan, I was 43 years old and my personal journey had already reached the climax as President of Uganda."
40,elderly father grow coffee number acre buddu,My elderly father grows coffee on a number of acres in Buddu.
41,specie worldwide specie occur uganda,There are 38 species worldwide and 2 species which occur in Uganda.
42,past six year embark number project key among restoration kasubi royal tomb," In the past six years, we have embarked on a number of projects, key among which is the restoration of Kasubi royal tombs."
43,dorcas chalain amudat district vice chairperson say surprised development since people eat porridge long without problem,"Dorcas Chalain, the Amudat district vice chairperson, says she is surprised with the development since her people have been eating the same porridge for long without any problem."
44,amelia kyambadde say ministry overload kmc manage register major milestone include construction installation km long kv medium voltage electricity line connect kiira vehicle plant national electricity grid installation km long inch pipeline connect plant site jinja municipal water supply system among other,"Amelia Kyambadde said; Under my ministry, it was an overload but KMC managed to register major milestones that included the construction and installation of a 3.7km-long 33kV medium-voltage electricity line connecting the Kiira Vehicle Plant to the national electricity grid and installation of a 5.4km long 6- inch pipeline connecting the plant site to the Jinja municipal water supply system among others."
45,value espouse obuntubulamu derivative different cultural background uganda reflective sustainable development goal particularly goal peace justice strong institution,"The values espoused in Obuntubulamu and its derivatives in different cultural backgrounds in Uganda are reflective of the Sustainable Development Goals and particularly Goal 16 on Peace, Justice and Strong Institutions."
46,florence acan another tomato supplier bweyale say besides unreliable payment middleman harass intimidate,"Florence Acan, another tomatoes supplier from Bweyale, says that besides the unreliable payment by the middlemen, they also harass and intimidate them."
47,uganda land commission inquiry constitute president yoweri museveni investigate inquire law process procedure land administer register uganda among role,"The Uganda Land Commission of Inquiry was constituted in 2016 by President Yoweri Museveni to investigate and inquire into the law, processes and procedures by which land is administered and registered in Uganda among other roles."
48,explain jan mangul hijack require procedure acquisition mining lease something note disadvantage production moroto,"He explains that Jan Mangul hijacked some of the required procedures into the acquisition of the mining lease, something he notes disadvantaged its production in Moroto."
49,accord western report korean chinese record japanese brutal,"According to Western reports and Korean and Chinese records, the Japanese were brutal."
50,uganda tourism earning tip usd billion make sector big forex exchange earner coffee earning diaspora remittance,"Uganda s tourism earnings had tipped USD 1.4 billion in 2017, making the sector the biggest forex exchange earner above coffee earnings and diaspora remittances."
51,eight year mayuge base malongo ark peas high school operate without advanced level,"For eight years, Mayuge-based Malongo Ark Peas High School has been operating without Advanced level (S5 and S6)."
52,geographic disaggregation pea show spending favor northern region,The geographic disaggregation of PEAS shows that spending favors the Northern Region.
53,anything business must make profit make profit production cost high yoweri museveni president republic uganda,"More than anything, business must make profit, but you cannot make any profit if the production costs are this high, Yoweri Museveni, President of the Republic of Uganda."
54,uganda plenty possession half often threaten score without manage put ball net,Uganda had plenty of possession in both halves and often threatened to score without managing to put the ball in the net.
55,see several district get municipality yet even measure development luweero district,I have seen several districts that are getting municipalities and yet they cannot even measure up to the development in Luweero district.
56,commercial diplomacy program implement ministry foreign affair enhance capacity uganda mission abroad promote uganda export tourism investment potential welcome move,"The commercial diplomacy program that is being implemented by Ministry of Foreign Affairs to enhance the capacity of Uganda s missions abroad to promote Uganda s exports, tourism and investment potentials is a welcome move."
57,many country like uganda look tourism attract tourist platform support economic growth,Many countries like Uganda look at tourism not just as attracting tourists but as a platform which supports economic growth.
58,somalia could categorise fail state today year ago mediate peace deal prevent uganda southern neighbour tanzania go war mogadishu peace accord,"Somalia could be categorised as a failed state today, but 46 years ago it mediated in a peace deal to prevent Uganda and her southern neighbour Tanzania from going to war (Mogadishu Peace Accord of 1972)."
59,lomukele reveal land grabber drag court nakapiripirit use power include claim purport death father order win case,Lomukele also revealed that the same land grabbers dragged him to court in Nakapiripirit and used their powers including claims about the purported death of his father in order to win the case.
60,uganda land act recreate feudal relation agriculture,"In Uganda, the 1998 Land Act recreated feudal relations in agriculture."
61,comment joseph kiirya dairy one sector witness positive response recent year uganda government policy commercialize agriculture,COMMENT | Joseph Kiirya | Dairy is one of the few sectors witnessing a positive response in recent years to the Uganda government policy to commercialize agriculture.
62,member forum lead toroma county mp joseph andrew koluo tell kadaga hardly food toroma due prolonged drought month february rain begin month may,"Members of the forum led by Toroma County MP, Joseph Andrew Koluo, told Kadaga that there is hardly any food in Toroma due to prolonged drought in the months of February up until the rains began in the month of May."
63,chinese ambassador uganda zheng zhuqiang say china hold uganda high development partner reason china continue fund support several development project country,"The Chinese ambassador to Uganda, Zheng Zhuqiang said that China holds Uganda high as its development partner, the more reason that China continues to fund and support several development projects in the country."
64,locally xsabo brand mainly associate pilot solar power park kabulasoke commission president yoweri museveni early month,"Locally, Xsabo brand is mainly associated with the pilot solar power park in Kabulasoke that was commissioned by President Yoweri Museveni early this month."
65,however evidence gather ministry health surveillance team show per cent people live kampala test positive malaria travel district outside city,"However, evidence gathered by the Ministry of Health Surveillance teams shows that 85 per cent of the people living in Kampala who tested positive for malaria had travelled to a district outside the city."
