,stripped,readable
0,pape colleague manobi agcelerant manager,"Pape is a colleague at Manobi, an agCelerant manager."
1,important crop senegal rice principal component dish,Very important crop in Senegal; rice is the principal component of the dishes.
2,price availability important especially rural area,"Price and availability is very important, especially in rural areas."
3,availability decrease people ability eat every day,"If availability decreases, so does people's ability to eat every day."
4,cultivar household cash crop,The cultivars are the same for household and cash crop.
5,two type rice import local import much widely consume,"Two types of rice, imported and local, but imported is much more widely consumed."
6,srv institution call sae organize area farmer cultivate,"In the SRV, there's an institution called SAED which has organized in which areas the farmers should cultivate and how they should do so."
7,use tractor limit way water pass river cultivation area,They are using tractors to limit the ways water should pass from river to cultivation areas.
8,farmer monitor extension,The farmers are monitored by SAED.
9,rest information come either bank directly farmer,The rest of the information comes either from the bank directly or between farmers.
10,bank get information extension know much rice cultivate season,"Banks get information from SAED, who knows how much rice has been cultivated in each season."
11,sae inform supplier seed fertilizer quantity need farmer area,"SAED also informs suppliers (seeds, fertilizer) of the quantity needed by farmers in which areas."
12,bank bank fix loan rate every season,Banque Agricole has a fixed loan rate every season (7.5%)!
13,microfinance institution three list interview finance farmer rate usually around,"Microfinance institutions there are three on the list of interviews also finance the farmers, the rates are usually around 13%."
14,farmer prefer low rate sometimes chance get loan convince sae sort connection sae get loan,"Farmers prefer the lower rates, but sometimes they don't have the chance to get these loans because you have to convince SAED or have some sort of connection with SAED to get loans."
15,farmer connect sae head cooperative farmer large area cultivation directly contact sae say large area want connect bank bank,"Farmers connect to SAED through the heads of their cooperatives, or if the farmer has a large area of cultivation he can directly contact SAED and say, I have a large area, I want you to connect me to Banque Agricole."
16,want give money extension make link,"If they want to give some money to SAED to make that link, they can."
17,start ticket bank bank hectare,Starting ticket at Banque Agricole is 5 hectares.
18,around minute miss something important someone go bank bank,"This is around 10 minutes in, I missed something important about why someone wouldn't go through Banque Agricole."
19,hectare allow create cooperative village organization ask loan,5 hectares allows you to create a cooperative or village organization and ask for a loan.
20,pape consider smallholder ha rice cultivation start around ha,"Pape considers a smallholder to be 0.25 - 1 ha, but for rice cultivation it starts around 10 ha."
21,lot space cultivate ha cost around expensive,"There's a lot of space and cultivating 10 ha costs around $6000, which isn't that expensive."
22,land rent family member family hectare put together cooperative,"This land is rented, or it's a family where each member of the family has some hectares and puts them together into cooperatives."
23,farmer rent farmer cooperative much space cultivate,Farmers rent from other farmers or cooperatives who have so much space they can't cultivate it.
24,farmer ha probably grow rice consumption,Farmers who have < 5 ha probably only grow rice for consumption.
25,ton per hectare hectare eat much,"If you have 5 tons per hectare and you have 2 - 5 hectares, you can't eat that much yourself."
26,"important information decide season start 
 two season space action quite large jan march","The most important information to decide which season to start Two seasons, the space of action is quite large between 15 Jan to 15 March."
27,weather important,Weather is not that important to them.
28,important information whether get financing,Most important information is whether they can get financing.
29,farmer usually follow prescribed range sae planting various action,"Farmers usually follow the prescribed ranges from SAED for planting, etc., various actions."
30,end prescribed planting range see get tractor prepare land,"Before the end of the prescribed planting range, they see if they can get a tractor to prepare the land."
31,say service provider season prepare land loan pay back,"Then they say to the service provider, I'll do the season if you can prepare the land for me; if I have a loan then I can pay you back."
32,loan end prescribed range go,"If they don't have a loan before the end of the prescribed range, they won't go for it."
33,dry season,} This is for the dry season.
34,rainy season credit much problem tractor work rain,For the rainy season credit is not as much of a problem; tractors can't work in the rain.
35,usually break day farmer decide whether prepare loan,There's usually a break of 2 - 5 days in which farmers can decide whether to prepare if they have the loan.
36,dry season good proceed fund kickstart process ahead loan,"If the dry season was good, they proceed on their own funds and kickstart the process ahead of loans."
37,farmer need week receipt credit plant,Farmers just need 1 week between receipt of credit and planting.
38,supply easily access everybody local organization usually stock seed fertilizer,"Supplies are very easily accessed for everybody, local organizations usually have stocks of seeds and fertilizers."
39,time time subsidy cropping season amount supply need prepare season shortage rarely happen northern senegal,"From time to time there are subsidies for each cropping season; the amount of supplies needed is prepared for each season, and shortages are rarely happening in northern Senegal."
40,input well know prescribe extension,The inputs are well-known and prescribed by SAED.
41,might difference cropping season phyto chemical weed change year year sometimes right chemical short supply buy enough product type weed,"There might be differences between cropping seasons in phyto- chemicals, because weeds will change from year to year but sometimes the right chemicals are in short supply because they can't buy enough products for each type of weed."
42,know type problem crop buy right chemical,So they don't know what type of problem will crop up so they can't buy the right chemicals.
43,sometimes bank give loan late farmer want stay track season want use cultivar different normal supplier know ahead time seed shortage type cultivar desire,"Sometimes banks give out loans very late, and then the farmers want to stay on track for the season so they will want to use a cultivar that is different than normal but again, if the suppliers don't know this ahead of time, then there will be a seed shortage of the type of cultivar desired."
44,extension technical review previous season use agent throughout village head cooperative,SAED does a technical review of the previous season using agents throughout villages and heads of cooperatives.
45,sae use technique generate information year,SAED uses the same technique to generate information each year.
46,particularly bad year pest,"If there was a particularly bad year (pests, etc.)"
47,try fix problem information fairly consistent year year,they try to fix the problems but the information is fairly consistent from year to year.
