,sentence
0,"Isaac Shinyekwa, the head of Trade and Regional Integration Department at the Makerere University-based Economic Policy Research Centre (EPRC), however, said the decision is welcome arguing that there is no country in the world that has developed without protecting its local firms.
"
1,"We already did this in Kampala.
"
2,"The two-year project, launched in Masaka on Wednesday, aims at improving the livelihoods of fishing communities, especially women and youths.
"
3,"I do not have to talk of Karamoja because for that area, there was no attempt to introduce any cash crop at all.
"
4,"Alebtong District Woman MP, Christine Ayo Acen says that Members of Parliament cannot be compared to other civil servants since they are elected representatives and their constituents have different expectations from them.
"
5,"Ruan said that Tecno is selling 25 million units of phones in East Africa and Uganda takes between three and four million phones.
"
6,"Uganda is also moving towards commercial oil production and yet the International Panel on Climate Change (IPCC) data shows that fossil fuels such as oil will increase climate change through pollution and add to greenhouse gas emissions.
"
7,"The impact is getting visible with fewer earnings from Rwanda.
"
8,"The consignment has since been returned after Uganda’s attorney general William Byaruhanga said AGR had lawfully imported the gold.
"
9,"In the same statement, Uganda bizarrely said it “objects to any foreign interference into the domestic affairs of other countries [Hong Kong and China].
"
10,"He doesn't mind to mention Somalia because in his own eyes there will be no consequence to Uganda.
"
11,"The Sahiwal breed thrives well in arid and semi-arid areas such as Karamoja.
"
12,"Today, President Yoweri Museveni commissioned three assembly lines employing 100 Ugandans and assembling 500 pieces of 2G Analog Phones fitted with blue tooth, Camera and a Low Emission Diode bulbs or torch and branded Made in Uganda.
"
13,"“It is good to rebase because it helps a country to know the resources it has and this facilitates a country’s planning,” said Paul Lakuma; a Research Fellow at the Macroeconomic department at the Economic Policy research Centre, Makerere University, “If a country doesn’t know the resources that it has, it may even end up borrowing money abroad that would have been sourced locally.
"
14,"It will also traverse gently undulating grass and farmland, hills with open plateaus, open grassland, wetlands in Gomba and Ssembabule districts and a relatively flat landscape towards Mutukula near the border with Tanzania.
"
15,"✳ Because of challenges, Uganda’s private sector is dominated by fewer than 30 large-scale firms, which control more than half of all manufacturing and processing.
"
16,"At the end of November, President Museveni again met Total E&P top executives at State House Entebbe.
"
17,"I have land in Kisozi.
"
18,"Stephen Ssebunya, the Mutukula town council chairperson complained to police about the continued unauthorized movement uninspected cattle in the area.
"
19,"On Wednesday October 28, Sophia arrived at Murchison National Park together with two fellow students and their tour guide, also driver; they had met in Kampala.
"
20,"“There are 10 sub-counties in Sebei where there is neither a primary nor secondary school.
"
21,"She says that the visit was interrupted by a communication from the Ministry of Finance Permanent Secretary Keith Muhakanizi to the Speaker of Parliament to stop MPs from going to Lubowa hospital.
"
22,"The National Environment Management Authority (NEMA) has defended the ongoing rice growing and sand mining activities in Lwera wetland despite uproar from area leaders, civil society organizations and the general public.
"
23,"For example, Kigezi Bank of Commerce which we had started to help in developing Kigezi area struggled to remain open when the minimum capital required was increased from 2 billion to 5 billion.
"
24,"Having listened to Achola and one Christine Nyaketcho’s ordeals in Tororo last week, the head of office of the Austrian Development Agency, Dr Roswitha Kremser, said: “The testimonies of the two young ladies are very sad moments for me.
"
25,"Statistics from FAO show that more than 1,500 households benefited from the project, far higher than the planned target of 900 households in Moyo and Yumbe Districts.
"
26,"Hugo is said to have collaborated with the then former Nakapiripirit mayor, Hillary Topoh and the area LC 1 charmin Kalisto Lokol.
"
27,"In Uganda, smaller farmers are still facing a raft of challenges, which begs intervention of government to help them.
"
28,"He said this while speaking at Soni-Kainja primary school play grounds in Kirewa Sub County, Tororo district during a fund-raising drive to complete the construction of St Maria Gorreti Church on Tuesday.
"
29,"“The Government of Uganda considers the shooting incident a grave matter and that although the latest victim is Rwandan, it constitutes a pattern of reckless and high-handed acts on the part of Rwanda security personnel, against simple, ordinary people that live along the common border.
"
30,"Pian Upe game reserve in Nakapiripirit district is among the very few Ugandan wildlife sanctuaries I have not visited.
"
31,"He also rents an office at Ham towers in Wandegeya for those who cannot come to ghettos of Namungoona.
"
32,"After the shooting he ran back into Uganda territory for his safety.
"
33,"Fish farmers mainly those dealing in cage fish farming and ponds within Namayingo district have also reported death of tilapia, citing a strange illness which spreads on a high rate as the fish reproduces.
"
34,"Like earlier noted, Uganda’s government still looked at this money as an earning.
"
35,"“I dropped out of school and started working at a food factory in Tororo where a loader impregnated me.
"
36,"According to Ssali, the African Development Bank and African Development Fund signed the final contract for the construction of Mpigi expressway with UNRA and the said joint venture on June 18, 2019.
"
37,"He says the suspects reportedly sold 16 bullets each at 5,000 shillings to a lady identified only as Irene, a resident of Lajang village in Pajimo parish in Labongo Akwang sub county on unknown day.
"
38,"The cathedral will be built to commemorate 100 years of the Orthodox Church in Uganda.
"
39,"The first time I visited the USA in October 1987, on the invitation of President Ronald Reagan, I was 43 years old and my personal journey had already reached the climax as President of Uganda.
"
40,"My elderly father grows coffee on a number of acres in Buddu.
"
41,"There are 38 species worldwide and 2 species which occur in Uganda.
"
42,"“In the past six years, we have embarked on a number of projects, key among which is the restoration of Kasubi royal tombs.
"
43,"Dorcas Chalain, the Amudat district vice chairperson, says she is surprised with the development since her people have been eating the same porridge for long without any problem.
"
44,"Amelia Kyambadde said; “Under my ministry, it was an overload but KMC managed to register major milestones that included the construction and installation of a 3.7km-long 33kV medium-voltage electricity line connecting the Kiira Vehicle Plant to the national electricity grid and installation of a 5.4km long 6- inch pipeline connecting the plant site to the Jinja municipal water supply system among others.
"
45,"The values espoused in Obuntubulamu and its derivatives in different cultural backgrounds in Uganda are reflective of the Sustainable Development Goals and particularly Goal 16 on Peace, Justice and Strong Institutions.
"
46,"Florence Acan, another tomatoes supplier from Bweyale, says that besides the unreliable payment by the middlemen, they also harass and intimidate them.
"
47,"The Uganda Land Commission of Inquiry was constituted in 2016 by President Yoweri Museveni to investigate and inquire into the law, processes and procedures by which land is administered and registered in Uganda among other roles.
"
48,"He explains that Jan Mangul hijacked some of the required procedures into the acquisition of the mining lease, something he notes disadvantaged its production in Moroto.
"
49,"According to Western reports and Korean and Chinese records, the Japanese were brutal.
"
50,"Uganda’s tourism earnings had tipped USD 1.4 billion in 2017, making the sector the biggest forex exchange earner above coffee earnings and diaspora remittances.
"
51,"For eight years, Mayuge-based Malongo Ark Peas High School has been operating without Advanced level (S5 and S6).
"
52,"The geographic disaggregation of PEAS shows that spending favors the Northern Region.
"
53,"More than anything, business must make profit, but you cannot make any profit if the production costs are this high,” Yoweri Museveni, President of the Republic of Uganda.
"
54,"Uganda had plenty of possession in both halves and often threatened to score without managing to put the ball in the net.
"
55,"I have seen several districts that are getting municipalities and yet they cannot even measure up to the development in Luweero district.
"
56,"The commercial diplomacy program that is being implemented by Ministry of Foreign Affairs to enhance the capacity of Uganda’s missions abroad to promote Uganda’s exports, tourism and investment potentials is a welcome move.
"
57,"Many countries like Uganda look at tourism not just as attracting tourists but as a platform which supports economic growth.
"
58,"Somalia could be categorised as a failed state today, but 46 years ago it mediated in a peace deal to prevent Uganda and her southern neighbour Tanzania from going to war (Mogadishu Peace Accord of 1972).
"
59,"Lomukele also revealed that the same land grabbers dragged him to court in Nakapiripirit and used their powers including claims about the purported death of his father in order to win the case.
"
60,"In Uganda, the 1998 Land Act recreated feudal relations in agriculture.
"
61,"COMMENT | Joseph Kiirya | Dairy is one of the few sectors witnessing a positive response in recent years to the Uganda government policy to commercialize agriculture.
"
62,"Members of the forum led by Toroma County MP, Joseph Andrew Koluo, told Kadaga that there is hardly any food in Toroma due to prolonged drought in the months of February up until the rains began in the month of May.
"
63,"The Chinese ambassador to Uganda, Zheng Zhuqiang said that China holds Uganda high as its development partner, the more reason that China continues to fund and support several development projects in the country.
"
64,"Locally, Xsabo brand is mainly associated with the pilot solar power park in Kabulasoke that was commissioned by President Yoweri Museveni early this month.
"
65,"However, evidence gathered by the Ministry of Health Surveillance teams shows that 85 per cent of the people living in Kampala who tested positive for malaria had travelled to a district outside the city.
"
66,"In the same month, on May 8, Uganda unveiled five oil blocks for competitive licensing for exploration and development.
"
67,"Through the MoU both communities on the Kenya and Ugandan sides can now harness opportunities for better cooperation, close coordination and peaceful coexistence.
"
68,"He reiterated that creating jobs in Public Service cannot cater for all the people in Uganda and hence the necessity of starting projects that create wealth for them and help others to get employment.
"
69,"He said it was unfortunate that foreign companies were using the present environment to grab land and minerals from Karamoja unchecked.
"
70,"Dr Ampaire was speaking during a media meeting held this morning ahead of the World Sight Day at the Ministry of Health headquarters in Kampala.
"
71,"This followed the death of three people and hospitalization of over 200 people from napaka and Amudat in karamoja region after consuming the super cereal fortified food that was supplied by the world food program.
"
72,"Recently, our commander in chief crowned it all off by sending a thief and thief protector to catch another by ordering the same police to clamp down on all illegal gold dealers in Kampala, but we all know how this story will end.
"
73,"Speaking at the report launch on Nov.29 in Kampala, Muhumuza and Akumu said other findings according to the report had to do with difficulty of valuing land for compensation, weaknesses regarding dispute resolution mechanisms and the effects of gender and cultural norms.
"
74,"Amidst these developments, Uganda has been mapped as the most vulnerable country to climate change with limited capacity to cope.
"
75,"A graduate of Political Science from Makerere University, Kasamba chaired the Parliamentary Committee on Agriculture for most of the three terms he served as Kakuuto MP from 2001 to 2016.
"
76,"Okoyo was not in office but the Wamala region police spokesman Norbert Ochom told NTV on Monday that they have so far arrested four people including Kaweesi’s manager and a security guard.
"
77,"So, to close the common market gap, WAFICOS and KCCA have mobilized and set up a live fish sale outlet at Wandegeya market, Wadunde explained.
"
78,"Museveni invited Bahati, Opondo and Bagiire to back him up.
"
79,"They are some of the relatively young crop of modern artists who continue to join Uganda’s frustratingly slow-growing fine art scene.
"
80,"Uganda’s strategy, Muloni said, seeks to optimize the investment benefits from the petroleum sector in order to develop durable sustainable infrastructure and technology that will facilitate investments in renewable sources of energy.
"
81,"The workshop in Bugembe serves the whole of eastern region as well as Karamoja.
"
82,"About 208,000 people are employed in the sector in Uganda and the number could rise to 522,000 by 2030.
"
83,"The Bunyoro Region, like the whole of Uganda, has been here for the last 4½ million years since the human being evolved from apes and became homo- sapien- sapien (the wise man).
"
84,"As of February 2019, Uganda is the third largest refugee-hosting country in the world with a total of 1,223,003 refugees.
"
85,"Kutesa was responding to a concern raised by Kawempe North Member of Parliament Latif Ssebaggala during a meeting with Parliament’s Foreign Affairs Committee on the financial year 2019/2020 budget framework paper.
"
86,"This is not the first time Guangzhou Dongsong Energy Group is embroiled in a controversy in Uganda.
"
87,"Attilio Pacifici, the European Union Ambassador to Uganda says that the grant is part of their broader financial contribution towards the Global Climate Change Alliance-GCCA Project, in which they support developing countries to build communities that are resilient to climate change effects.
"
88,"Kasande said besides international oil prices, the two other factors that make investing in exploration in oil and gas frontier basins like Uganda are legislation and potential of the blocks.
"
89,"“Mzee Athiyo is one of our heroes in Karamoja.
"
90,"That is to say, unchecked moral decline has a devastating and corrosive effect on the socio-economic and political life of nations, Uganda included.
"
91,"Bananas, cassava, beans, millet, sorghum, rice, wheat, sweet potatoes and maize make up the bulk of the daily diet of most rural families in Uganda providing optimal plant proteins for the body.
"
92,"When the decision has been reached, up to US$15billion is expected to flow into the country for the refinery in Kabaale, the crude pipeline to Tanga in Tanzania and development of up 15 oil fields.
"
93,"However, a handful of African countries including Kenya and Morocco showcased their products that mainly included agricultural.
"
94,"Bildard Moses Adome, the Jie County MP says the guns are now common in Karamoja, and many cattle thieves in the region.
"
95,"Mr Abdallahi Boitaan, just to let you know that it was actually Museveni who invaded Uganda from Tanzania.
"
96,"The unfortunate farmers are allied to Magezi-Muliro Farmers’ Association, which received the pilot demonstration mini irrigation scheme in Mabwombe village in Mende subcounty in Wakiso district.
"
97,"On November 10, 2016, New Vision published an article titled “Uganda to host maiden biosafety conference”.
"
98,"She however says generally the samples tested did not have heavy metal and pesticides and that the levels of afflatoxins found could not explain the acute symptoms toxicity that was seen in patients in Karamoja.
"
99,"From 2011 to 2016, China’s total spending in Uganda on the same was over $1 billion.
"
100,"Such violation is unacceptable in a democratic Uganda and must be probed.
"
101,"The Embassy says that the United States will work with Uganda to strengthen democratic institutions, ensure freedom of expression, and promote an open political environment.
"
102,"In Uganda, as high as 90 per cent of the population in need of mental health treatment never access such services while only 0.7 per cent of the total health budget is allocated to mental health.
"
103,"In Amuru over 208 farmers under Amuru I and Amuru II clusters lost over 40 tons of tobacco to fire in a rented store.
"
104,"At African hotel in Kampala, the marketing team there told they “had been affected and we need prayers.
"
105,"Over 400 data experts from several countries including Tanzania, India, Nigeria, Japan, and the UAE will use information collected hourly from over 60 sensors mounted around Kampala to accurately forecast air quality for a future 25-hour period using the Zindi data science competition platform.
"
106,"Frida Amuron, the Amudat community based development officer said that there were a lot of unreported cases across the district notably in rural areas where information about the rights of a girl child was still scanty.
"
107,"By this morning Uganda had registered 81 cases, 52 of which have recovered and 29 remain active.
"
108,"I bet, if a quarter of the participants, right from the ministers score beyond 30% in an authentically administered examination, I will NEVER say anything concerning education in Uganda, anymore.
"
109,"Muganzi said the programme is currently running in Kotido but expected to roll out to the entire region.
"
110,"Kingfisher, Tilenga alongside the East African Crude Oil Pipeline (EACOP) are the flagship projects upon which Uganda is hinging hope of attracting about US$ 20bn over the next couple of years.
"
111,"“The pigs paid for my tuition and I also opened up a vet clinic in Entebbe.
"
112,"That said, I also want to acknowledge up front that Uganda is facing challenges that may endanger its trajectory toward prosperity – and I will return to those challenges in a moment – but if it can get past those challenges, the possibilities are limitless.
"
113,"James Okumu Bedijo, the Gulu Deputy Chief Administrative Officer says he needed more time to understand why the district doesn’t have a substantive vet officer.
"
114,"“Uganda now has a big intellectual property; even if the IOCs left, we can still go ahead.
"
115,"Kilama says the thugs estimated to have been more than five entered through areas of Murukanyebu, Nyecwai and Latiripeyo all bordering the porous boundaries with Kotido district.
"
116,"This is the second time armed suspected cattle thieves have raided Mora village in Paimol sub county in only one month.
"
117,"So I thank you, the people of Karamoja,” he said.
"
118,"Kyagulanyi made this pledge while speaking to thousands of his supporters today during his campaign trail at Bududa playground in Bududa district.
"
119,"Yoweri Museveni and all the non-Baganda that live in Kampala are also buying a lot of things from the Baganda shops in Kampala.
"
120,"“The findings imply that locally made, double-layered cloth face-masks when availed and used could improve the uptake of face-masks by the public in Uganda and similar low-and middle- income countries in Africa, as a key intervention in preventing the transmission of Covid-19,” the study partly reads.
"
121,"While handing over the site to Kisinga Construction Company Limited on Thursday, Helen Pulkol, the Deputy Resident District Commissioner in Moroto said the construction of the unit is a big relief in the fight against cataract in the region.
"
122,"The construction work is being funded under Project for the Restoration of Livelihoods in the Northern Region – PRELNOR initiative.
"
123,"The Moroto district production secretary, Emmanuel Lokii also confirms the destruction of crops in Abule, Naputh and Lolung parishes in Rupa sub county.
"
124,"Nawangwe blames the late distribution of the gowns to the late supply by the contractor who he says demanded for advance payment, which wasn’t done in time.
"
125,"It is at this point that Kavuya, who had already flown his family members from Florida, USA, to Addis Ababa en route to Entebbe, decided to go for a covert approach.
"
126,"Prof. William Bazeyo who heads the Makerere University Research and Innovations fund that is in charge of financing the studies says that initial results of the studies will be released in the next three months and Uganda will have a pool of local evidence to inform interventions into the pandemic.
"
127,"The electrification of industrial parks has also progressed with the commissioning of the Mukono and Iganga Industrial Parks sub-stations.
"
128,"That is how Uganda has developed so much and has become an island of stability.
"
129,"The good news is this trend is taking off is Uganda too.
"
130,"He says they are already in talks with the district local government on possibilities of opening up the access roads linking remote Odom village in Adilang sub county to Orom sub county in neighboring Kitgum.
"
131,"After serving as Uganda’s military attaché in Addis Ababa, Ethiopia, he was recalled and retired from the army in 2014.
"
132,"I remember him once calling me and saying Amos, I will be going to China for a World Customs meeting to do a presentation and I want that meeting to happen in Uganda next time, and it will be first on the African continent.
"
133,"In a related development, Kyadondo East MP Robert Kyagulanyi aka Bobi Wine donated Shs 13.5m to help the Kasese floods victims.
"
134,"On top of assenting to the bill last Friday, Museveni also had a meeting with representatives from Tanzania led by the managing director of Kagera Sugar Limited, Seif Ally Seif in which they agreed to export Uganda’s surplus sugar.
"
135,"Nyanzi adds that the murals themselves attract attention as they touch the heart to explore human emotions of love, longing and celebration and concern which make it difficult for anyone to pass by without noticing it thus fulfilling its purpose.
"
136,"In Mukono here, all politicians and members of the party structures went to NUP.
"
137,"President Yoweri Museveni Uganda has announced four new coronavirus cases.
"
138,"The outbreak of the coronavirus disease is posing a challenge to many businesses in Uganda, with experts predicting that the world will experience a recession.
"
139,"“We are very proud of the role we have played in the founding and development of Uganda’s oil industry,” she said, “We wish all Ugandans and our joint venture partners well as they take this important project forward.
"
140,"Sending her congratulatory message, Clark emphasized the importance of transparency in ensuring that money from Uganda’s oil and gas production is not mismanaged, stolen, or lost to corruption.
"
141,"These are some of the endangered species found in Uganda.
"
142,"Evelyn Anite, state minister for investment, told Xinhua in an interview that the development of the device is good news for Uganda and Africa; especially at a time when the COVID-19 pandemic is increasing.
"
143,"The $300,000 cash contribution will also contribute to supporting WFP assistance in Karamoja.
"
144,"Food and Agriculture Organisation said that although Uganda and South Sudan are not currently affected, they are at high risk because they equally have favourable conditions for the rapid reproduction of the locusts.
"
145,"Based on this, Engel asks the Treasury Department and the State Department to utilise the authority of the Global Magnitsky Human Rights Accountability Act (Global Magnitsky Act) to designate individuals who may be responsible for violence in Uganda in recent years.
"
146,"EnviroServ, a merger of South Africa’s EnviroServ and Uganda’s Green Albertine Limited was set up to manage Uganda’s industrial waste – and mainly from oil activities.
"
147,"[This would actually mean taking Buganda and Luganda away from present Baganda].
"
148,"Government, on Saturday through the ministry of Health asked travellers from countries with high cases of coronavirus not to travel to Uganda unless for essential reasons.
"
149,"Khan said that the key test for Kenya in the years ahead will be the strength of its fiscal consolidation.
"
150,"In 2017, the government evicted hundreds of artisanal gold miners from Kassanda on grounds that their activities were not only a security threat but they also evading taxes that would contribute to the development of the country.
"
151,"Antonio Querido the FAO country representative says that Uganda is rich in arable land and it can be the food basket again.
"
152,"But birds have been his burning passion since his childhood days in Masaka when he nursed hatchlings, fed them and improvised grassy shelters for them.
"
153,"Imagine if Uganda was to add extra value by washing and roasting its coffee before export.
"
154,"The elder advised Major Gen Loketch to handle his new post jealously and show hard work to represents the people of Karamoja well.
"
155,"However, Mwebe James Kizza, an S.3 student of King’s College, Buddo, holds a contrary opinion.
"
156,"Uganda’s economic outlook is positive.
"
157,"Therefore, for 5 months now, Uganda has been depending on our products: food, industrial, (products etc) etc.
"
158,"We are lucky because we have everything: agriculture that produces so many products; entrepreneurial classes that can process all and every agricultural product using appropriate factories; electricity and other infrastructure elements that assist processing; a large, educated, young population that can run modern economies; a big regional market created by the African Pan-Africanists ever since the time of the Lagos Plan of Action; and huge international markets availed to Africa, Uganda included, on account of the historical factors that favour Africa.
"
159,"Here, the central bank intends to pump into the market more dollars in case the Uganda shilling is quickly losing its value.
"
160,"In Uganda, as high as 90 per cent of the population in need of mental health treatment never access such services while only 0.7 per cent of the total health budget is allocated to mental health.
"
161,"And once council address that we will inform you,” Nawangwe said.
"
162,"Your Excellency, I reside in Kawanda, just 12 km, away from Kampala city, and I wish to assure you that the school-going children in my community are not studying, at all.
"
163,"She joined Kyambogo University on government sponsorship to study Engineering.
"
164,"Mr. Francis Kiyonga the district LCV chairperson Amudat said more effort was needed to stop the practice.
"
165,"The destructive desert locust has left farmers in the most hit regions of North Eastern Kenya painfully seeing their crops eaten away and not sure of what their families will feed on.
"
166,"This is confirmed by the Secretary to the Treasury, Keith Muhakanizi’s remarks to the diplomats and economists at the International Monetary Fund meeting held in Kampala in October last year.
"
167,"Monica Rubombora, one of the Batooro working in South Africa says that the start of the online service is a dream come true for most of the Batooro outside Uganda.
"
