,Unnamed: 0,readable,uganda-2019,uganda-2020,uganda-2021,uganda-2022,uganda-2023,all,stripped
0,0,"Isaac Shinyekwa, the head of Trade and Regional Integration Department at the Makerere University-based Economic Policy Research Centre (EPRC), however, said the decision is welcome arguing that there is no country in the world that has developed without protecting its local firms.
",1,0,0,0,0,1,isaac shinyekwa head trade regional integration department makerere university base economic policy research centre eprc however say decision welcome argue country world develop without protect local firm
1,1,"We already did this in Kampala.
",1,0,0,0,0,1,already kampala
2,2,"The two-year project, launched in Masaka on Wednesday, aims at improving the livelihoods of fishing communities, especially women and youths.
",1,0,0,0,0,1,two year project launch masaka wednesday aim improve livelihood fishing community especially woman youth
3,3,"I do not have to talk of Karamoja because for that area, there was no attempt to introduce any cash crop at all.
",1,0,0,0,0,1,talk karamoja area attempt introduce cash crop
4,4,"Alebtong District Woman MP, Christine Ayo Acen says that Members of Parliament cannot be compared to other civil servants since they are elected representatives and their constituents have different expectations from them.
",1,0,0,0,0,1,alebtong district woman mp christine ayo acen say member parliament compare civil servant since elect representative constituent different expectation
5,5,"Ruan said that Tecno is selling 25 million units of phones in East Africa and Uganda takes between three and four million phones.
",1,0,0,0,0,1,ruan say tecno sell million unit phone east africa uganda take three four million phone
6,6,"Uganda is also moving towards commercial oil production and yet the International Panel on Climate Change (IPCC) data shows that fossil fuels such as oil will increase climate change through pollution and add to greenhouse gas emissions.
",1,0,0,0,0,1,uganda move towards commercial oil production yet international panel climate change ipcc datum show fossil fuel oil increase climate change pollution add greenhouse gas emission
7,7,"The impact is getting visible with fewer earnings from Rwanda.
",1,0,0,0,0,1,impact get visible few earning rwanda
8,8,"The consignment has since been returned after Uganda’s attorney general William Byaruhanga said AGR had lawfully imported the gold.
",1,0,0,0,0,1,consignment since return uganda attorney general william byaruhanga say agr lawfully import gold
9,9,"In the same statement, Uganda bizarrely said it “objects to any foreign interference into the domestic affairs of other countries [Hong Kong and China].
",1,0,0,0,0,1,statement uganda bizarrely say object foreign interference domestic affair country hong kong china
10,10,"He doesn't mind to mention Somalia because in his own eyes there will be no consequence to Uganda.
",1,0,0,0,0,1, mind mention somalia eye consequence uganda
11,11,"The Sahiwal breed thrives well in arid and semi-arid areas such as Karamoja.
",1,0,0,0,0,1,sahiwal breed thrive well arid semi arid area karamoja
12,12,"Today, President Yoweri Museveni commissioned three assembly lines employing 100 Ugandans and assembling 500 pieces of 2G Analog Phones fitted with blue tooth, Camera and a Low Emission Diode bulbs or torch and branded Made in Uganda.
",1,0,0,0,0,1,today president yoweri museveni commission three assembly line employ ugandan assemble piece analog phone fit blue tooth camera low emission diode bulb torch brand make uganda
13,13,"“It is good to rebase because it helps a country to know the resources it has and this facilitates a country’s planning,” said Paul Lakuma; a Research Fellow at the Macroeconomic department at the Economic Policy research Centre, Makerere University, “If a country doesn’t know the resources that it has, it may even end up borrowing money abroad that would have been sourced locally.
",1,0,0,0,0,1,good rebase help country know resource facilitate country planning say paul lakuma research fellow macroeconomic department economic policy research centre makerere university country know resource may even end borrow money abroad would source locally
14,14,"It will also traverse gently undulating grass and farmland, hills with open plateaus, open grassland, wetlands in Gomba and Ssembabule districts and a relatively flat landscape towards Mutukula near the border with Tanzania.
",1,0,0,0,0,1,traverse gently undulate grass farmland hill open plateaus open grassland wetland gomba ssembabule district relatively flat landscape towards mutukula near border tanzania
15,15,"✳ Because of challenges, Uganda’s private sector is dominated by fewer than 30 large-scale firms, which control more than half of all manufacturing and processing.
",1,0,0,0,0,1,challenge uganda private sector dominate few large scale firm control half manufacturing processing
16,16,"At the end of November, President Museveni again met Total E&P top executives at State House Entebbe.
",1,0,0,0,0,1,end november president museveni meet total p top executive state house entebbe
17,17,"I have land in Kisozi.
",1,0,0,0,0,1,land kisozi
18,18,"Stephen Ssebunya, the Mutukula town council chairperson complained to police about the continued unauthorized movement uninspected cattle in the area.
",1,0,0,0,0,1,stephen ssebunya mutukula town council chairperson complain police continue unauthorized movement uninspecte cattle area
19,19,"On Wednesday October 28, Sophia arrived at Murchison National Park together with two fellow students and their tour guide, also driver; they had met in Kampala.
",1,0,0,0,0,1,wednesday october sophia arrive murchison national park together two fellow student tour guide driver meet kampala
20,20,"“There are 10 sub-counties in Sebei where there is neither a primary nor secondary school.
",1,0,0,0,0,1,sub county sebei neither primary secondary school
21,21,"She says that the visit was interrupted by a communication from the Ministry of Finance Permanent Secretary Keith Muhakanizi to the Speaker of Parliament to stop MPs from going to Lubowa hospital.
",1,0,0,0,0,1,say visit interrupt communication ministry finance permanent secretary keith muhakanizi speaker parliament stop mp go lubowa hospital
22,22,"The National Environment Management Authority (NEMA) has defended the ongoing rice growing and sand mining activities in Lwera wetland despite uproar from area leaders, civil society organizations and the general public.
",1,0,0,0,0,1,national environment management authority nema defend ongoing rice grow sand mining activity lwera wetland despite uproar area leader civil society organization general public
23,23,"For example, Kigezi Bank of Commerce which we had started to help in developing Kigezi area struggled to remain open when the minimum capital required was increased from 2 billion to 5 billion.
",1,0,0,0,0,1,example kigezi bank commerce start help develop kigezi area struggle remain open minimum capital require increase billion billion
24,24,"Having listened to Achola and one Christine Nyaketcho’s ordeals in Tororo last week, the head of office of the Austrian Development Agency, Dr Roswitha Kremser, said: “The testimonies of the two young ladies are very sad moments for me.
",1,0,0,0,0,1,listen achola one christine nyaketcho ordeal tororo last week head office austrian development agency dr roswitha kremser say testimony two young lady sad moment
25,25,"Statistics from FAO show that more than 1,500 households benefited from the project, far higher than the planned target of 900 households in Moyo and Yumbe Districts.
",1,0,0,0,0,1,statistic fao show household benefit project far high plan target household moyo yumbe district
