,sentence
0,"Human-AI collaboration is the study of how humans and artificial intelligence (AI) agents work together to accomplish a shared goal.
"
1,"AI systems can aid humans in everything from decision making tasks to art creation.
"
2,"Examples of collaboration include medical decision making aids., hate speech detection, and music generation.
"
3,"As AI systems are able to tackle more complex tasks, studies are exploring how different models and explanation techniques can improve human-AI collaboration.
"
4,"When a human uses an AI's output, they often want to understand why a model gave a certain output.
"
5,"While some models, like decision trees, are inherently explainable, black box models do not have clear explanations.
"
6,"Various Explainable artificial intelligence methods aim to describe model outputs with post-hoc explanations or visualizations, these methods can often provide misleading and false explanations.
"
7,"Studies have also found that explanations may not improve the performance of a human-AI team, but simply increase a human's reliance on the model's output.
"
8,"A human's trust in an AI agent is an important factor in human-AI collaboration, dictating whether the human should follow or override the AI's input.
"
9,"Various factors impact a person's trust in an AI system, including its accuracy and reliability.
"
10,"The Turing test, originally called the imitation game by Alan Turing in 1950, is a test of a machine's ability to exhibit intelligent behaviour equivalent to, or indistinguishable from, that of a human.
"
11,"Turing proposed that a human evaluator would judge natural language conversations between a human and a machine designed to generate human-like responses.
"
12,"The evaluator would be aware that one of the two partners in conversation was a machine, and all participants would be separated from one another.
"
13,"The conversation would be limited to a text-only channel, such as a computer keyboard and screen, so the result would not depend on the machine's ability to render words as speech.
"
14,"If the evaluator could not reliably tell the machine from the human, the machine would be said to have passed the test.
"
15,"The test results would not depend on the machine's ability to give correct answers to questions, only on how closely its answers resembled those a human would give.
"
16,"The test was introduced by Turing in his 1950 paper ""Computing Machinery and Intelligence"" while working at the University of Manchester.
"
17,"It opens with the words: ""I propose to consider the question, 'Can machines think?'""
"
18,"Because ""thinking"" is difficult to define, Turing chooses to ""replace the question by another, which is closely related to it and is expressed in relatively unambiguous words.""
"
19,"Turing describes the new form of the problem in terms of a three-person game called the ""imitation game"", in which an interrogator asks questions of a man and a woman in another room in order to determine the correct sex of the two players.
"
20,"Turing's new question is: ""Are there imaginable digital computers which would do well in the imitation game?""
"
21,"This question, Turing believed, was one that could actually be answered.
"
22,"In the remainder of the paper, he argued against all the major objections to the proposition that ""machines can think"".
"
23,"Since Turing introduced his test, it has been both highly influential and widely criticised, and has become an important concept in the philosophy of artificial intelligence.
"
24,"Some of its criticisms, such as John Searle's Chinese room, are themselves controversial.
"
25,"In artificial intelligence, an expert system is a computer system emulating the decision-making ability of a human expert.
"
26,"Expert systems are designed to solve complex problems by reasoning through bodies of knowledge, represented mainly as if–then rules rather than through conventional procedural code.
"
27,"The first expert systems were created in the 1970s and then proliferated in the 1980s.
"
28,"Expert systems were among the first truly successful forms of artificial intelligence (AI) software.
"
29,"An expert system is divided into two subsystems: the inference engine and the knowledge base.
"
30,"The knowledge base represents facts and rules.
"
31,"The inference engine applies the rules to the known facts to deduce new facts.
"
32,"Inference engines can also include explanation and debugging abilities.
"
33,"One of the first examples of an expert system was MYCIN, an application to perform medical diagnosis.
"
34,"In the MYCIN example, the domain experts were medical doctors and the knowledge represented was their expertise in diagnosis.
"
35,"Expert systems were first developed in artificial intelligence laboratories as an attempt to understand complex human decision making.
"
36,"Based on positive results from these initial prototypes, the technology was adopted by the US business community (and later worldwide) in the 1980s.
"
37,"The Stanford heuristic programming projects led by Edward Feigenbaum was one of the leaders in defining and developing the first expert systems.
"
38,"In the earliest days of expert systems there was little or no formal process for the creation of the software.
"
39,"Researchers just sat down with domain experts and started programming, often developing the required tools (e.g.
"
40,"inference engines) at the same time as the applications themselves.
"
41,"As expert systems moved from academic prototypes to deployed business systems it was realized that a methodology was required to bring predictability and control to the process of building the software.
"
42,"There were essentially two approaches that were attempted: Use conventional software development methodologies, and develop special methodologies tuned to the requirements of building expert systems.
"
43,"Many of the early expert systems were developed by large consulting and system integration firms such as Andersen Consulting.
"
44,"These firms already had well tested conventional waterfall methodologies (e.g.
"
45,"Method/1 for Andersen) that they trained all their staff in and that were virtually always used to develop software for their clients.
"
46,"One trend in early expert systems development was to simply apply these waterfall methods to expert systems development.
"
47,"Another issue with using conventional methods to develop expert systems was that due to the unprecedented nature of expert systems they were one of the first applications to adopt rapid application development methods that feature iteration and prototyping as well as or instead of detailed analysis and design.
"
48,"In the 1980s few conventional software methods supported this type of approach.
"
49,"The final issue with using conventional methods to develop expert systems was the need for knowledge acquisition.
"
50,"Knowledge acquisition refers to the process of gathering expert knowledge and capturing it in the form of rules and ontologies.
"
51,"Knowledge acquisition has special requirements beyond the conventional specification process used to capture most business requirements.
"
52,"These issues led to the second approach to knowledge engineering: development of custom methodologies specifically designed to build expert systems.
"
53,"One of the first and most popular of such methodologies custom designed for expert systems was the Knowledge Acquisition and Documentation Structuring (KADS) methodology developed in Europe.
"
54,"KADS had great success in Europe and was also used in the United States.
"
