,readable,stripped,Unnamed: 0.1,wikipedia_article_1,wikipedia_article_2,wikipedia_article_3,wikipedia_article_4,all
0,0. Human-AI collaboration is the study of how humans and artificial intelligence (AI) agents work together to accomplish a shared goal.,human ai collaboration study human artificial intelligence ai agent work together accomplish share goal,False,False,False,False,True,True
1,1. AI systems can aid humans in everything from decision making tasks to art creation.,ai system aid human everything decision make task art creation,True,False,False,False,True,True
2,"2. Examples of collaboration include medical decision making aids., hate speech detection, and music generation.",example collaboration include medical decision make aids hate speech detection music generation,False,False,False,False,True,True
3,"3. As AI systems are able to tackle more complex tasks, studies are exploring how different models and explanation techniques can improve human-AI collaboration.",ai system able tackle complex task study explore different model explanation technique improve human ai collaboration,False,False,False,False,True,True
4,"4. When a human uses an AI's output, they often want to understand why a model gave a certain output.",human use ai output often want understand model give certain output,False,False,False,False,True,True
5,"5. While some models, like decision trees, are inherently explainable, black box models do not have clear explanations.",model like decision tree inherently explainable black box model clear explanation,False,False,False,False,True,True
6,"6. Various Explainable artificial intelligence methods aim to describe model outputs with post-hoc explanations or visualizations, these methods can often provide misleading and false explanations.",various explainable artificial intelligence method aim describe model output post hoc explanation visualization method often provide misleading false explanation,False,False,False,False,True,True
7,"7. Studies have also found that explanations may not improve the performance of a human-AI team, but simply increase a human's reliance on the model's output.",study find explanation may improve performance human ai team simply increase human reliance model output,False,False,False,False,True,True
8,"8. A human's trust in an AI agent is an important factor in human-AI collaboration, dictating whether the human should follow or override the AI's input.",human trust ai agent important factor human ai collaboration dictate whether human follow override ai input,False,False,False,False,True,True
9,"9. Various factors impact a person's trust in an AI system, including its accuracy and reliability.",various factor impact person trust ai system include accuracy reliability,False,False,False,False,True,True
10,"10. The Turing test, originally called the imitation game by Alan Turing in 1950, is a test of a machine's ability to exhibit intelligent behaviour equivalent to, or indistinguishable from, that of a human.",ture test originally call imitation game alan ture test machine ability exhibit intelligent behaviour equivalent indistinguishable human,False,False,False,True,False,True
11,11. Turing proposed that a human evaluator would judge natural language conversations between a human and a machine designed to generate human-like responses.,ture propose human evaluator would judge natural language conversation human machine design generate human like response,False,False,False,True,False,True
12,"12. The evaluator would be aware that one of the two partners in conversation was a machine, and all participants would be separated from one another.",evaluator would aware one two partner conversation machine participant would separate one another,False,False,False,True,False,True
13,"13. The conversation would be limited to a text-only channel, such as a computer keyboard and screen, so the result would not depend on the machine's ability to render words as speech.",conversation would limit text channel computer keyboard screen result would depend machine ability render word speech,False,False,False,True,False,True
14,"14. If the evaluator could not reliably tell the machine from the human, the machine would be said to have passed the test.",evaluator could reliably tell machine human machine would say pass test,False,False,False,True,False,True
15,"15. The test results would not depend on the machine's ability to give correct answers to questions, only on how closely its answers resembled those a human would give.",test result would depend machine ability give correct answer question closely answer resemble human would give,False,False,False,True,False,True
16,"16. The test was introduced by Turing in his 1950 paper ""Computing Machinery and Intelligence"" while working at the University of Manchester.",test introduce ture paper computing machinery intelligence work university manchester,False,False,False,True,False,True
17,"17. It opens with the words: ""I propose to consider the question, 'Can machines think?'""",open word propose consider question machine think,False,False,False,True,False,True
18,"18. Because ""thinking"" is difficult to define, Turing chooses to ""replace the question by another, which is closely related to it and is expressed in relatively unambiguous words.""",thinking difficult define ture choose replace question another closely related express relatively unambiguous word,False,False,False,True,False,True
19,"19. Turing describes the new form of the problem in terms of a three-person game called the ""imitation game"", in which an interrogator asks questions of a man and a woman in another room in order to determine the correct sex of the two players.",ture describe new form problem term three person game call imitation game interrogator ask question man woman another room order determine correct sex two player,False,False,False,True,False,True
20,"20. Turing's new question is: ""Are there imaginable digital computers which would do well in the imitation game?""",ture new question imaginable digital computer would well imitation game,False,False,False,True,False,True
21,"21. This question, Turing believed, was one that could actually be answered.",question ture believe one could actually answer,False,False,False,True,False,True
22,"22. In the remainder of the paper, he argued against all the major objections to the proposition that ""machines can think"".",remainder paper argue major objection proposition machine think,False,False,False,True,False,True
23,"23. Since Turing introduced his test, it has been both highly influential and widely criticised, and has become an important concept in the philosophy of artificial intelligence.",since ture introduce test highly influential widely criticise become important concept philosophy artificial intelligence,False,False,False,True,False,True
24,"24. Some of its criticisms, such as John Searle's Chinese room, are themselves controversial.",criticism john searle chinese room controversial,False,False,False,True,False,True
25,"25. In artificial intelligence, an expert system is a computer system emulating the decision-making ability of a human expert.",artificial intelligence expert system computer system emulate decision make ability human expert,False,False,True,False,False,True
26,"26. Expert systems are designed to solve complex problems by reasoning through bodies of knowledge, represented mainly as if then rules rather than through conventional procedural code.",expert system design solve complex problem reason body knowledge represent mainly rule rather conventional procedural code,False,False,True,False,False,True
27,27. The first expert systems were created in the 1970s and then proliferated in the 1980s.,first expert system create proliferate,False,False,True,False,False,True
28,28. Expert systems were among the first truly successful forms of artificial intelligence (AI) software.,expert system among first truly successful form artificial intelligence ai software,False,False,True,False,False,True
29,29. An expert system is divided into two subsystems: the inference engine and the knowledge base.,expert system divide two subsystem inference engine knowledge base,False,False,True,False,False,True
30,30. The knowledge base represents facts and rules.,knowledge base represent fact rule,False,False,True,False,False,True
31,31. The inference engine applies the rules to the known facts to deduce new facts.,inference engine apply rule know fact deduce new fact,False,False,True,False,False,True
32,32. Inference engines can also include explanation and debugging abilities.,inference engine include explanation debug ability,False,False,True,False,False,True
33,"33. One of the first examples of an expert system was MYCIN, an application to perform medical diagnosis.",one first example expert system mycin application perform medical diagnosis,False,True,False,False,False,True
34,"34. In the MYCIN example, the domain experts were medical doctors and the knowledge represented was their expertise in diagnosis.",mycin example domain expert medical doctor knowledge represent expertise diagnosis,False,True,False,False,False,True
35,35. Expert systems were first developed in artificial intelligence laboratories as an attempt to understand complex human decision making.,expert system first develop artificial intelligence laboratory attempt understand complex human decision make,False,True,False,False,False,True
36,"36. Based on positive results from these initial prototypes, the technology was adopted by the US business community (and later worldwide) in the 1980s.",base positive result initial prototype technology adopt us business community later worldwide,False,True,False,False,False,True
37,37. The Stanford heuristic programming projects led by Edward Feigenbaum was one of the leaders in defining and developing the first expert systems.,stanford heuristic programming project lead edward feigenbaum one leader define develop first expert system,False,True,False,False,False,True
38,38. In the earliest days of expert systems there was little or no formal process for the creation of the software.,early day expert system little formal process creation software,False,True,False,False,False,True
39,"39. Researchers just sat down with domain experts and started programming, often developing the required tools (e.g.",researcher sit domain expert start program often develop require tool,False,True,False,False,False,True
40,40. inference engines) at the same time as the applications themselves.,inference engine time application,False,True,False,False,False,True
41,41. As expert systems moved from academic prototypes to deployed business systems it was realized that a methodology was required to bring predictability and control to the process of building the software.,expert system move academic prototype deploy business system realize methodology require bring predictability control process build software,False,True,False,False,False,True
42,"42. There were essentially two approaches that were attempted: Use conventional software development methodologies, and develop special methodologies tuned to the requirements of building expert systems.",essentially two approach attempt use conventional software development methodology develop special methodology tune requirement build expert system,False,True,False,False,False,True
43,43. Many of the early expert systems were developed by large consulting and system integration firms such as Andersen Consulting.,many early expert system develop large consulting system integration firm andersen consulting,False,True,False,False,False,True
44,44. These firms already had well tested conventional waterfall methodologies (e.g.,firm already well test conventional waterfall methodology,False,True,False,False,False,True
45,45. Method1 for Andersen) that they trained all their staff in and that were virtually always used to develop software for their clients.,method andersen train staff virtually always use develop software client,False,True,False,False,False,True
46,46. One trend in early expert systems development was to simply apply these waterfall methods to expert systems development.,one trend early expert system development simply apply waterfall method expert system development,False,True,False,False,False,True
47,47. Another issue with using conventional methods to develop expert systems was that due to the unprecedented nature of expert systems they were one of the first applications to adopt rapid application development methods that feature iteration and prototyping as well as or instead of detailed analysis and design.,another issue use conventional method develop expert system due unprecedented nature expert system one first application adopt rapid application development method feature iteration prototype well instead detailed analysis design,False,True,False,False,False,True
48,48. In the 1980s few conventional software methods supported this type of approach.,conventional software method support type approach,False,True,False,False,False,True
49,49. The final issue with using conventional methods to develop expert systems was the need for knowledge acquisition.,final issue use conventional method develop expert system need knowledge acquisition,False,True,False,False,False,True
50,50. Knowledge acquisition refers to the process of gathering expert knowledge and capturing it in the form of rules and ontologies.,knowledge acquisition refer process gather expert knowledge capture form rule ontology,False,True,False,False,False,True
51,51. Knowledge acquisition has special requirements beyond the conventional specification process used to capture most business requirements.,knowledge acquisition special requirement beyond conventional specification process use capture business requirement,False,True,False,False,False,True
52,52. These issues led to the second approach to knowledge engineering: development of custom methodologies specifically designed to build expert systems.,issue lead second approach knowledge engineering development custom methodology specifically design build expert system,False,True,False,False,False,True
53,53. One of the first and most popular of such methodologies custom designed for expert systems was the Knowledge Acquisition and Documentation Structuring (KADS) methodology developed in Europe.,one first popular methodology custom design expert system knowledge acquisition documentation structure kad methodology develop europe,False,True,False,False,False,True
54,54. KADS had great success in Europe and was also used in the United States.,kad great success europe use united states,False,True,False,False,False,True
