,tokens
0,"['one', 'first', 'example', 'expert', 'system', 'mycin', 'application', 'perform', 'medical', 'diagnosis']"
1,"['mycin', 'example', 'domain', 'expert', 'medical', 'doctor', 'knowledge', 'represent', 'expertise', 'diagnosis']"
2,"['expert', 'system', 'first', 'develop', 'artificial', 'intelligence', 'laboratory', 'attempt', 'understand', 'complex', 'human', 'decision', 'make']"
3,"['stanford', 'heuristic', 'programming', 'project', 'lead', 'edward', 'feigenbaum', 'one', 'leader', 'define', 'develop', 'first', 'expert', 'system']"
4,"['early', 'day', 'expert', 'system', 'little', 'formal', 'process', 'creation', 'software']"
5,"['researcher', 'sit', 'domain', 'expert', 'start', 'program', 'often', 'develop', 'require', 'tool']"
6,"['expert', 'system', 'move', 'academic', 'prototype', 'deploy', 'business', 'system', 'realize', 'methodology', 'require', 'bring', 'predictability', 'control', 'process', 'build', 'software']"
7,"['essentially', 'two', 'approach', 'attempt', 'use', 'conventional', 'software', 'development', 'methodology', 'develop', 'special', 'methodology', 'tune', 'requirement', 'build', 'expert', 'system']"
8,"['many', 'early', 'expert', 'system', 'develop', 'large', 'consulting', 'system', 'integration', 'firm', 'andersen', 'consulting']"
9,"['one', 'trend', 'early', 'expert', 'system', 'development', 'simply', 'apply', 'waterfall', 'method', 'expert', 'system', 'development']"
10,"['another', 'issue', 'use', 'conventional', 'method', 'develop', 'expert', 'system', 'due', 'unprecedented', 'nature', 'expert', 'system', 'one', 'first', 'application', 'adopt', 'rapid', 'application', 'development', 'method', 'feature', 'iteration', 'prototyping', 'well', 'instead', 'detailed', 'analysis', 'design']"
11,"['final', 'issue', 'use', 'conventional', 'method', 'develop', 'expert', 'system', 'need', 'knowledge', 'acquisition']"
12,"['knowledge', 'acquisition', 'refer', 'process', 'gather', 'expert', 'knowledge', 'capture', 'form', 'rule', 'ontology']"
13,"['issue', 'lead', 'second', 'approach', 'knowledge', 'engineering', 'development', 'custom', 'methodology', 'specifically', 'design', 'build', 'expert', 'system']"
14,"['one', 'first', 'popular', 'methodology', 'custom', 'design', 'expert', 'system', 'knowledge', 'acquisition', 'documentation', 'structure', 'kad', 'methodology', 'develop', 'europe']"
15,"['artificial', 'intelligence', 'expert', 'system', 'computer', 'system', 'emulate', 'decision', 'make', 'ability', 'human', 'expert']"
16,"['expert', 'system', 'design', 'solve', 'complex', 'problem', 'reason', 'body', 'knowledge', 'represent', 'mainly', 'rule', 'rather', 'conventional', 'procedural', 'code']"
17,"['first', 'expert', 'system', 'create', 'proliferate']"
18,"['expert', 'system', 'among', 'first', 'truly', 'successful', 'form', 'artificial', 'intelligence', 'ai', 'software']"
19,"['expert', 'system', 'divide', 'two', 'subsystem', 'inference', 'engine', 'knowledge', 'base']"
