,row,col,frozen_col,readable,seeded_doc
0,uganda-Kampala,uganda | people,False,"5. The Preferential Trade Area Bank (PTA), also known as the Eastern & Southern African Trade & Development Bank, held a Bank Business Seminar at Sheraton Hotel in Kampala on the 27th of June.",False
1,uganda-Kampala,uganda | people,False,6. Transport of a tonne of goods from Mombasa to Kampala is currently US$150.,False
2,uganda-Kampala,uganda | people,False,"8. A trained lawyer, Muhoozi joined the Army in 1985, a year before the take over of Kampala.",False
3,uganda-Kampala,uganda | people,False,13.  To move cargo from Mombasa to Kampala by rail is about half of the price by road.,False
4,uganda-Kampala,uganda | people,False,"19. The reason people are exporting without documents is because UEPB, which awards the certificate of origin in preferential markets, has only one office in Kampala.",False
5,uganda-Kampala,uganda | people,False,20. You don t go to Kampala and pick up people and then line them up to vote for you as president general; that is mob justice.,False
6,uganda-Kampala,uganda | people,False,24. She said she experienced this once when she was being driven to a hotel in Kampala.,False
7,uganda-Kampala,uganda | people,False,"26. So, for most Ugandans outside of Kampala, watching TV means paying a subscription tax to pay-TV providers in South Africa and China, the dominant players in the industry.",False
8,uganda-Kampala,uganda | people,False,"30. However, as you prepare to comb the streets of Kampala looking for a job, don t limit that degree to only securing formal employment because that might take forever to happen.",False
9,uganda-Kampala,uganda | people,False,"41. A friend I have known for the last ten years, and does business in downtown Kampala a hardworking folk for certain has said to me many times that where they once imported 50 containers of merchandise from China or Turkey, they now import 10 or 15.",False
10,uganda-Kampala,uganda | people,False,"51. Just imagine a person earning $1,000 in Kampala and another earning the same amount in New York.",False
11,uganda-Kampala,uganda | people,False,57. He attracted a negative reputation for his strict enforcement of the urban beautification campaign in Kampala city then.,False
12,uganda-Kampala,uganda | people,False,"58. Indeed, the mantra goes that if you fail in Kampala, you have yourself to blame.",False
13,uganda-Kampala,uganda | people,False,60. These commissioners sit at the headquarters in Kampala and are fed with figures from polling stations which they use to process the results.,False
14,uganda-Kampala,uganda | people,False,63. The number of school-age children engaged in petty trade in local markets and streets of Kampala appear to be on a rise.,False
15,uganda-Kampala,uganda | people,False,64. Go downtown Kampala and you will find the entrepreneurs with huge turnover of businesses are equally people with the least education.,False
16,uganda-Kampala,uganda | people,False,"71. Cars are getting fewer on Kampala roads, which will have an impact in the overall tax collections.",False
17,uganda-Kampala,uganda | people,False,"76. with metal cutting and bending common-user machine tools, the common-user machines for carpentry etc.",False
18,uganda-Kampala,uganda | people,False,91. An average person in Kampala spends 3.5 hours (one and a half hours in the morning and another two hours in the evening) in traffic jams every working day.,False
19,uganda-Kampala,uganda | people,False,92. We are sorting to select one or two for Kampala.,False
20,uganda-Kampala,uganda | people,False,93. Anna said that money would only buy land in Kampala.,False
21,uganda-Kampala,uganda | people,False,96. Distribution of nets in Kampala and Wakiso is expected to start next month.,False
22,uganda-Kampala,kampala | aboneka,False,"31. Agaliawamu Gegalumaenyama, Kampala.",False
23,uganda-Kampala,kampala | aboneka,False,"38. Florence Atwongyeire, Kampala.",False
24,uganda-Kampala,kampala | aboneka,False,"54. Onesmus Muwanga, Kampala.",False
25,uganda-Kampala,kampala | aboneka,False,"56. Michael Aboneka, Kampala.",False
26,uganda-Kampala,karamoja | kampala,False,"0. Speaking at the Uganda Media Center in Kampala, HESFB executive director, Michael Wanyama, said the successful applicants are under Lot 1 of the 8th cohort of the students loan scheme beneficiaries for the academic year 202122.",False
27,uganda-Kampala,karamoja | kampala,False,"1. In Kampala, since Jennifer Musisi s time, they have been singing the song of decongesting the city but as much as they have tried to do so, the lord mayor and his political squad have also misled people.",False
28,uganda-Kampala,karamoja | kampala,False,"2. In Kampala, the Journal report said, over 90% of the measured fine particles in the air mass can be explained by condensed particles (crustal species and between 41% and 59%) and soot from burning fires, manufacturing processes, and motor vehicles (carbonaceous aerosol at between 33% and 55%).",False
29,uganda-Kampala,karamoja | kampala,False,"3. In a glaring snub to Besigye, Ssuubi linchpin, Kampala Central MP Erias Lukwago has proceeded to contest for the Kampala mayoral seat without formal IPC endorsement.",False
30,uganda-Kampala,karamoja | kampala,False,"4. But Mutebile told a meeting in Kampala on Friday that the opportunity to borrow non-concessional expensive money to meet infrastructure needs has become very tempting, especially in anticipation of oil revenues, which serve as collateral for borrowing from international markets.",False
31,uganda-Kampala,karamoja | kampala,False,"7. In terms of the transports sector, it is anticipated that near rainfall patterns are likely to be occasionally accompanied by intense rainfall events that may lead to flash flooding in some localized places especially in Kampala and other urban areas.",False
32,uganda-Kampala,karamoja | kampala,False,"11. Dozens of people were killed and several others injured mostly in Kampala, as security forces tried to quell riots that followed the arrest of two opposition politicians on allegations of violating COVID-19 containment measures.",False
33,uganda-Kampala,karamoja | kampala,False,"12. Tactically, therefore, Besigye has been extremely successful in undermining the confidence of NRM supporters in their president and government, crippling the government s diplomatic standing, dented the country s image as an investment destination, shut down the city, forced the closure of banks, stopped people from work, reduced the inflow of goods into Kampala and turned national attention to his person.",False
34,uganda-Kampala,karamoja | kampala,False,"14. East African Breweries Limited launched a 124-page sustainability report titled, Crafting a sustainable future: Our report to society 2021 at Serena hotel Kampala on September 1, 2021.",False
35,uganda-Kampala,karamoja | kampala,False,16. On Aug.9 the Ministry of Energy headquarters at Amber House in Kampala was a bee-hive of activity.,False
36,uganda-Kampala,karamoja | kampala,False,17. McDade s comment kicked up a storm in government circles in Kampala.,False
37,uganda-Kampala,karamoja | kampala,False,"18. As such, the management of Top radio and Top TV, owned by Pastor Jackson Ssenyonga of the Christian Life Church in Bwaise on the outskirts of Kampala, have had an overhaul of their daily political talk shows.",False
38,uganda-Kampala,karamoja | kampala,False,21. URN has established that government has recalled a total of 85 Chinese nationals who arrived in the country on Tuesday in Kampala for institutional quarantining.,False
39,uganda-Kampala,karamoja | kampala,False,"22. Finance minister Matia Kasaija, while delivering the budget at Kololo Ceremonial Grounds in Kampala on Tuesday, June 14, 2022, said the overriding goal of the ruling government is to achieve socio-economic transformation for the benefit of all Ugandans and thus improve their lives.",False
40,uganda-Kampala,karamoja | kampala,False,23. She was speaking at a press conference held in her Office in Kampala on Thursday on the upcoming Annual Prosecutor s symposium and the 6th Joan Kagezi Memorial Lecture that is scheduled to take place next week from April 25th to 28th.,False
41,uganda-Kampala,karamoja | kampala,False,"25. Mogadishu, Somalia | THE INDEPENDENT | The Uganda People s Defence Forces (UPDF) headquarters in Kampala has confirmed that a few days ago, Al-Shabaab militants were repulsed in an attempted attack on their contingent in Somalia.",False
42,uganda-Kampala,karamoja | kampala,False,"27. With the scare in Kampala, the public is being encour aged to be keen on symp toms like, diarrhea, fever, vomiting, dehydration and decreased urine output and report any case for imme diate treatment.",False
43,uganda-Kampala,karamoja | kampala,False,28. Visiting presidents show up so frequently that the grassy verge outside its factory in Kampala will soon become a forest.,False
44,uganda-Kampala,karamoja | kampala,False,"29. Meanwhile, another source claims Otengo (our head of mission in Addis), who the lockdown found in Kampala, also learnt about Kutesa s letter on social media.",False
45,uganda-Kampala,karamoja | kampala,False,"32. Besigye also says security forces also besieged his home and raided the party s main office in Kampala, something he claims the government has often denied.",False
46,uganda-Kampala,karamoja | kampala,False,"34. The purpose of the long winding trip, 151 kilometres northwest of Kampala, was to witness the progress made in the US$500, 0000 project of strengthening resilience of refugees and the host communities to absorb, recover and adapt sustainably to shocks.",False
47,uganda-Kampala,karamoja | kampala,False,35. Razor Blade made a lot of news when Solomon Sserwanja debuted his investigative story about deadly gangs in Kampala.,False
48,uganda-Kampala,karamoja | kampala,False,"36. Speaking at the 2023 Stanbic Global Financial Markets Forum in Kampala, Economist on Tuesday, Dr Fred Muhumuza warned that the government is acquiring too much expensive debt especially in form of government treasuries.",False
49,uganda-Kampala,karamoja | kampala,False,"37. My father was calling him to warn the headmaster from Obote College not to come back to Lira, because he had come to Kampala for central marking.",False
50,uganda-Kampala,karamoja | kampala,False,"40. It can happen anywhere, even in Kampala, Disaster Preparedness minister Tarsis Kabwegyere told The Independent.",False
