,tokens
0,"['speak', 'uganda', 'medium', 'center', 'kampala', 'hesfb', 'executive', 'director', 'michael', 'wanyama', 'say', 'successful', 'applicant', 'lot', 'th', 'cohort', 'student', 'loan', 'scheme', 'beneficiary', 'academic', 'year']"
1,"['kampala', 'since', 'jennifer', 'musisi', 'time', 'singe', 'song', 'decongeste', 'city', 'much', 'try', 'lord', 'mayor', 'political', 'squad', 'mislead', 'people']"
2,"['kampala', 'journal', 'report', 'say', 'measure', 'fine', 'particle', 'air', 'mass', 'explain', 'condensed', 'particle', 'crustal', 'specie', 'soot', 'burn', 'fire', 'manufacturing', 'process', 'motor', 'vehicle', 'carbonaceous', 'aerosol']"
3,"['glaring', 'snub', 'besigye', 'ssuubi', 'linchpin', 'kampala', 'central', 'mp', 'erias', 'lukwago', 'proceed', 'contest', 'kampala', 'mayoral', 'seat', 'without', 'formal', 'ipc', 'endorsement']"
4,"['mutebile', 'tell', 'meeting', 'kampala', 'friday', 'opportunity', 'borrow', 'non', 'concessional', 'expensive', 'money', 'meet', 'infrastructure', 'need', 'become', 'tempting', 'especially', 'anticipation', 'oil', 'revenue', 'serve', 'collateral', 'borrow', 'international', 'market']"
5,"['preferential', 'trade', 'area', 'bank', 'pta', 'know', 'eastern', 'southern', 'african', 'trade', 'development', 'bank', 'hold', 'bank', 'business', 'seminar', 'sheraton', 'hotel', 'kampala', 'th', 'june']"
6,"['transport', 'tonne', 'good', 'mombasa', 'kampala', 'currently', 'we']"
7,"['term', 'transport', 'sector', 'anticipate', 'near', 'rainfall', 'pattern', 'likely', 'occasionally', 'accompany', 'intense', 'rainfall', 'event', 'may', 'lead', 'flash', 'flooding', 'localize', 'place', 'especially', 'kampala', 'urban', 'area']"
8,"['train', 'lawyer', 'muhoozi', 'join', 'army', 'year', 'take', 'kampala']"
9,"['light', 'rail', 'great', 'kampala', 'metropolitan', 'area', 'gkma', 'ease', 'transportation', 'around', 'kampala']"
10,"['lake', 'mburo', 'close', 'park', 'kampala', 'access', 'road', 'air']"
11,"['dozen', 'people', 'kill', 'several', 'other', 'injure', 'mostly', 'kampala', 'security', 'force', 'try', 'quell', 'riot', 'follow', 'arrest', 'two', 'opposition', 'politician', 'allegation', 'violate', 'covid', 'containment', 'measure']"
12,"['tactically', 'therefore', 'besigye', 'extremely', 'successful', 'undermine', 'confidence', 'nrm', 'supporter', 'president', 'government', 'cripple', 'government', 'diplomatic', 'standing', 'dent', 'country', 'image', 'investment', 'destination', 'shut', 'city', 'force', 'closure', 'bank', 'stop', 'people', 'work', 'reduce', 'inflow', 'good', 'kampala', 'turn', 'national', 'attention', 'person']"
13,"['move', 'cargo', 'mombasa', 'kampala', 'rail', 'half', 'price', 'road']"
14,"['east', 'african', 'brewery', 'limit', 'launch', 'page', 'sustainability', 'report', 'title', 'craft', 'sustainable', 'future', 'report', 'society', 'serena', 'hotel', 'kampala', 'september']"
15,"['kampala', 'havana', 'support', 'international', 'forum', 'non', 'align', 'movement', 'group', 'plus', 'china', 'un', 'defend', 'protect', 'interest', 'strategic', 'political', 'economic', 'association']"
16,"['aug', 'ministry', 'energy', 'headquarters', 'amber', 'house', 'kampala', 'bee', 'hive', 'activity']"
17,"['mcdade', 'comment', 'kick', 'storm', 'government', 'circle', 'kampala']"
18,"['management', 'top', 'radio', 'top', 'tv', 'own', 'pastor', 'jackson', 'ssenyonga', 'christian', 'life', 'church', 'bwaise', 'outskirt', 'kampala', 'overhaul', 'daily', 'political', 'talk', 'show']"
19,"['reason', 'people', 'export', 'without', 'document', 'uepb', 'award', 'certificate', 'origin', 'preferential', 'market', 'one', 'office', 'kampala']"
20,"['go', 'kampala', 'pick', 'people', 'line', 'vote', 'president', 'general', 'mob', 'justice']"
21,"['urn', 'establish', 'government', 'recall', 'total', 'chinese', 'national', 'arrive', 'country', 'tuesday', 'kampala', 'institutional', 'quarantining']"
22,"['finance', 'minister', 'matia', 'kasaija', 'deliver', 'budget', 'kololo', 'ceremonial', 'ground', 'kampala', 'tuesday', 'june', 'say', 'override', 'goal', 'rule', 'government', 'achieve', 'socio', 'economic', 'transformation', 'benefit', 'ugandans', 'thus', 'improve', 'life']"
23,"['speak', 'press', 'conference', 'hold', 'office', 'kampala', 'thursday', 'upcoming', 'annual', 'prosecutor', 'symposium', 'th', 'joan', 'kagezi', 'memorial', 'lecture', 'schedule', 'take', 'place', 'next', 'week', 'april', 'th', 'th']"
24,"['say', 'experience', 'drive', 'hotel', 'kampala']"
25,"['mogadishu', 'somalia', 'independent', 'uganda', 'people', 'defence', 'force', 'updf', 'headquarters', 'kampala', 'confirm', 'day', 'ago', 'al', 'shabaab', 'militant', 'repulse', 'attempt', 'attack', 'contingent', 'somalia']"
26,"['ugandan', 'outside', 'kampala', 'watch', 'tv', 'mean', 'pay', 'subscription', 'tax', 'pay', 'tv', 'provider', 'south', 'africa', 'china', 'dominant', 'player', 'industry']"
27,"['scare', 'kampala', 'public', 'encour', 'aged', 'keen', 'symp', 'tom', 'like', 'diarrhea', 'fever', 'vomit', 'dehydration', 'decrease', 'urine', 'output', 'report', 'case', 'imme', 'diate', 'treatment']"
28,"['visit', 'president', 'show', 'frequently', 'grassy', 'verge', 'outside', 'factory', 'kampala', 'soon', 'become', 'forest']"
29,"['meanwhile', 'another', 'source', 'claim', 'otengo', 'head', 'mission', 'addis', 'lockdown', 'find', 'kampala', 'learn', 'kutesa', 'letter', 'social', 'medium']"
30,"['however', 'prepare', 'comb', 'street', 'kampala', 'look', 'job', 'limit', 'degree', 'secure', 'formal', 'employment', 'might', 'take', 'forever', 'happen']"
31,"['agaliawamu', 'gegalumaenyama', 'kampala']"
32,"['besigye', 'say', 'security', 'force', 'besiege', 'home', 'raid', 'party', 'main', 'office', 'kampala', 'something', 'claim', 'government', 'often', 'deny']"
33,"['end', 'september', 'midway', 'fy', 'receive', 'shs', 'million', 'equivalent', 'one', 'month', 'pay', 'many', 'ceo', 'kampala']"
34,"['purpose', 'long', 'winding', 'trip', 'kilometre', 'northwest', 'kampala', 'witness', 'progress', 'make', 'us', 'project', 'strengthen', 'resilience', 'refugee', 'host', 'community', 'absorb', 'recover', 'adapt', 'sustainably', 'shock']"
35,"['razor', 'blade', 'make', 'lot', 'news', 'solomon', 'sserwanja', 'debut', 'investigative', 'story', 'deadly', 'gang', 'kampala']"
36,"['speak', 'stanbic', 'global', 'financial', 'market', 'forum', 'kampala', 'economist', 'tuesday', 'dr', 'fred', 'muhumuza', 'warn', 'government', 'acquire', 'much', 'expensive', 'debt', 'especially', 'form', 'government', 'treasury']"
37,"['father', 'call', 'warn', 'headmaster', 'obote', 'college', 'come', 'back', 'lira', 'come', 'kampala', 'central', 'mark']"
38,"['florence', 'atwongyeire', 'kampala']"
39,"['game', 'kampala', 'people', 'play']"
40,"['happen', 'anywhere', 'even', 'kampala', 'disaster', 'preparedness', 'minister', 'tarsis', 'kabwegyere', 'tell', 'independent']"
41,"['friend', 'know', 'last', 'ten', 'year', 'business', 'downtown', 'kampala', 'hardworke', 'folk', 'certain', 'say', 'many', 'time', 'import', 'container', 'merchandise', 'china', 'turkey', 'import']"
42,"['however', 'kampala', 'give', 'nature', 'business', 'area', 'operation', 'sacco', 'within', 'place', 'work', 'example', 'taxi', 'park', 'boda', 'boda', 'stage', 'market', 'office', 'among', 'other']"
43,"['expressway', 'toll', 'road', 'like', 'kampala', 'entebbe', 'expressway', 'provide', 'road', 'user', 'easy', 'link', 'international', 'airport', 'beautiful', 'home', 'nile', 'river', 'bustling', 'business', 'capital', 'kampala']"
44,"['way', 'back', 'funeral', 'paul', 'kavuma', 'pass', 'nairobi', 'narrate', 'whole', 'story', 'happen', 'kampala', 'london', 'mutesa', 'exile', 'pass', 'away']"
45,"['ms', 'mukumbya', 'speak', 'reporter', 'present', 'strategic', 'plan', 'group', 'stakeholder', 'event', 'hold', 'dfcu', 'head', 'office', 'kampala']"
46,"['kitutu', 'spend', 'nine', 'day', 'luzira', 'prison', 'follow', 'remand', 'april', 'charge', 'loss', 'public', 'property', 'conspiracy', 'defraud', 'government', 'anti', 'corruption', 'court', 'kampala']"
47,"['christmas', 'season', 'sobi', 'address', 'journalist', 'confess', 'series', 'murder', 'robbery', 'around', 'kampala']"
48,"['source', 'privy', 'meeting', 'tell', 'urn', 'minister', 'technocrat', 'hold', 'closed', 'door', 'ministerial', 'meeting', 'protea', 'hotel', 'kampala']"
49,"['unfortunate', 'currently', 'judicial', 'officer', 'line', 'chief', 'magistrate', 'court', 'kampala', 'buganda', 'road', 'merely', 'access', 'live', 'video', 'conferencing', 'leave', 'court', 'premise', 'wherever', 'situate']"
50,"['chinese', 'finance', 'kampala', 'entebbe', 'expressway', 'link', 'capital', 'kampala', 'airport', 'already', 'use']"
51,"['imagine', 'person', 'earn', 'kampala', 'another', 'earn', 'amount', 'new', 'york']"
52,"['issue', 'nabakooba', 'tell', 'zaake', 'bring', 'hooligan', 'kampala', 'embarrass', 'nabakooba', 'funeral']"
53,"['bikorwomuhangi', 'detain', 'rru', 'headquarters', 'kireka', 'kampala', 'suburb']"
54,"['onesmus', 'muwanga', 'kampala']"
55,"['meeting', 'thomas', 'president', 'museveni', 'july', 'meet', 'blinken', 'russian', 'counterpart', 'foreign', 'minister', 'sergei', 'lavrov', 'visit', 'kampala']"
56,"['michael', 'aboneka', 'kampala']"
57,"['attract', 'negative', 'reputation', 'strict', 'enforcement', 'urban', 'beautification', 'campaign', 'kampala', 'city']"
58,"['indeed', 'mantra', 'go', 'fail', 'kampala', 'blame']"
59,"['judiciary', 'fail', 'account', 'shs', 'million', 'pay', 'officer', 'registry', 'high', 'court', 'kampala']"
60,"['commissioner', 'sit', 'headquarters', 'kampala', 'feed', 'figure', 'polling', 'station', 'use', 'process', 'result']"
61,"['however', 'lose', 'independent', 'last', 'election', 'something', 'attribute', 'corrupt', 'leader', 'gang', 'fight', 'protect', 'large', 'piece', 'land', 'kampala', 'president', 'museveni', 'give', 'pwd']"
62,"['ongwen', 'say', 'oola', 'look', 'like', 'child', 'kampala', 'gulu', 'child', 'abduct']"
63,"['number', 'school', 'age', 'child', 'engage', 'petty', 'trade', 'local', 'market', 'street', 'kampala', 'appear', 'rise']"
64,"['go', 'downtown', 'kampala', 'find', 'entrepreneur', 'huge', 'turnover', 'business', 'equally', 'people', 'least', 'education']"
65,"['urban', 'area', 'especially', 'kampala', 'grow', 'rapidly']"
66,"['dr', 'byarugaba', 'baterana', 'executive', 'director', 'mulago', 'national', 'referral', 'hospital', 'kampala', 'tell', 'reporter', 'nine', 'people', 'admit', 'hospital', 'ward', 'die', 'injury']"
67,"['know', 'happen', 'kampala', 'kampala', 'difficult', 'plan', 'plan', 'previously']"
68,"['confirm', 'secretary', 'treasury', 'keith', 'muhakanizi', 'remark', 'diplomat', 'economist', 'international', 'monetary', 'fund', 'meeting', 'hold', 'kampala', 'october', 'last', 'year']"
69,"['anti', 'corruption', 'court', 'kampala', 'today', 'remand', 'luzira', 'may']"
70,"['tell', 'press', 'conference', 'kampala', 'hepatitis', 'b', 'vaccination', 'free', 'charge', 'government', 'facility', 'add', 'wasteful', 'give', 'people', 'one', 'dose', 'vaccine']"
71,"['car', 'get', 'few', 'kampala', 'road', 'impact', 'overall', 'tax', 'collection']"
72,"['find', 'tanzanian', 'singer', 'go', 'nairobi', 'kampala', 'close']"
