,sentence
0,"Speaking at the Uganda Media Center in Kampala, HESFB executive director, Michael Wanyama, said the successful applicants are under “Lot 1” of the 8th cohort of the students’ loan scheme beneficiaries for the academic year 2021/22.
"
1,"In Kampala, since Jennifer Musisi’s time, they have been singing the song of decongesting the city but as much as they have tried to do so, the lord mayor and his political squad have also misled people.
"
2,"In Kampala, the Journal report said, over 90% of the measured fine particles in the air mass can be explained by condensed particles (crustal species and between 41% and 59%) and soot from burning fires, manufacturing processes, and motor vehicles (carbonaceous aerosol at between 33% and 55%).
"
3,"In a glaring snub to Besigye, Ssuubi linchpin, Kampala Central MP Erias Lukwago has proceeded to contest for the Kampala mayoral seat without formal IPC endorsement.
"
4,"But Mutebile told a meeting in Kampala on Friday that the opportunity to borrow non-concessional – expensive money – to meet infrastructure needs has become very tempting, especially in anticipation of oil revenues, which serve as collateral for borrowing from international markets.
"
5,"The Preferential Trade Area Bank (PTA), also known as the Eastern & Southern African Trade & Development Bank, held a Bank Business Seminar at Sheraton Hotel in Kampala on the 27th of June.
"
6,"Transport of a tonne of goods from Mombasa to Kampala is currently US$150.
"
7,"In terms of the transports sector, it is anticipated that near rainfall patterns are likely to be occasionally accompanied by intense rainfall events that may lead to flash flooding in some localized places especially in Kampala and other urban areas.
"
8,"A trained lawyer, Muhoozi joined the Army in 1985, a year before the take over of Kampala.
"
9,"No, the light rail is for the Greater Kampala Metropolitan Area (GKMA) that will ease transportation in and around Kampala.
"
10,"Lake Mburo is the closest park to Kampala and can be accessed by road or air.
"
11,"Dozens of people were killed and several others injured mostly in Kampala, as security forces tried to quell riots that followed the arrest of two opposition politicians on allegations of violating COVID-19 containment measures.
"
12,"Tactically, therefore, Besigye has been extremely successful in undermining the confidence of NRM supporters in their president and government, crippling the government’s diplomatic standing, dented the country’s image as an investment destination, shut down the city, forced the closure of banks, stopped people from work, reduced the inflow of goods into Kampala and turned national attention to his person.
"
13,"“To move cargo from Mombasa to Kampala by rail is about half of the price by road.
"
14,"East African Breweries Limited launched a 124-page sustainability report titled, Crafting a sustainable future: Our report to society 2021’ at Serena hotel Kampala on September 1, 2021.
"
15,"Kampala and Havana support each other in international forums through the Non-Aligned Movement, the Group of 77 plus China and the UN to defend and protect their interests and strategic political and economic associations.
"
16,"On Aug.9 the Ministry of Energy headquarters at Amber House in Kampala was a bee-hive of activity.
"
17,"McDade’s comment kicked up a storm in government circles in Kampala.
"
18,"As such, the management of Top radio and Top TV, owned by Pastor Jackson Ssenyonga of the Christian Life Church in Bwaise on the outskirts of Kampala, have had an overhaul of their daily political talk shows.
"
19,"The reason people are exporting without documents is because UEPB, which awards the certificate of origin in preferential markets, has only one office in Kampala.
"
20,"You don’t go to Kampala and pick up people and then line them up to vote for you as president general; that is mob justice.
"
21,"URN has established that government has recalled a total of 85 Chinese nationals who arrived in the country on Tuesday in Kampala for institutional quarantining.
"
22,"Finance minister Matia Kasaija, while delivering the budget at Kololo Ceremonial Grounds in Kampala on Tuesday, June 14, 2022, said the overriding goal of the ruling government is to achieve socio-economic transformation for the benefit of all Ugandans and thus improve their lives.
"
23,"She was speaking at a press conference held in her Office in Kampala on Thursday on the upcoming Annual Prosecutor’s symposium and the 6th Joan Kagezi Memorial Lecture that is scheduled to take place next week from April 25th to 28th.
"
24,"She said she experienced this once when she was being driven to a hotel in Kampala.
"
25,"Mogadishu, Somalia | THE INDEPENDENT | The Uganda People’s Defence Forces (UPDF) headquarters in Kampala has confirmed that a few days ago, Al-Shabaab militants were repulsed in an attempted attack on their contingent in Somalia.
"
26,"So, for most Ugandans outside of Kampala, watching TV means paying a ‘subscription tax’ to pay-TV providers in South Africa and China, the dominant players in the industry.
"
27,"With the scare in Kampala, the public is being encour ¬aged to be keen on symp ¬toms like, diarrhea, fever, vomiting, dehydration and decreased urine output and report any case for imme ¬diate treatment.
"
28,"Visiting presidents show up so frequently that the grassy verge outside its factory in Kampala will soon become a forest.
"
29,"Meanwhile, another source claims Otengo (our head of mission in Addis), who the lockdown found in Kampala, also learnt about Kutesa’s letter on social media.
"
30,"However, as you prepare to comb the streets of Kampala looking for a job, don’t limit that degree to only securing formal employment because that might take forever to happen.
"
31,"Agaliawamu Gegalumaenyama, Kampala.
"
32,"Besigye also says security forces also besieged his home and raided the party’s main office in Kampala, something he claims the government has often denied.
"
33,"By the end of September, which is about midway the FY, they had received only Shs34 million – the equivalent of one-month pay for many CEOs in Kampala.
"
34,"The purpose of the long winding trip, 151 kilometres northwest of Kampala, was to witness the progress made in the US$500, 0000 project of strengthening resilience of refugees and the host communities to absorb, recover and adapt sustainably to shocks.
"
35,"Razor Blade made a lot of news when Solomon Sserwanja debuted his investigative story about deadly gangs in Kampala.
"
36,"Speaking at the 2023 Stanbic Global Financial Markets Forum in Kampala, Economist on Tuesday, Dr Fred Muhumuza warned that the government is acquiring too much expensive debt especially in form of government treasuries.
"
37,"My father was calling him to warn the headmaster from Obote College not to come back to Lira, because he had come to Kampala for central marking.
"
38,"Florence Atwongyeire, Kampala.
"
39,"“There are games in Kampala that people play.
"
40,"It can happen anywhere, even in Kampala,â€ Disaster Preparedness minister Tarsis Kabwegyere told The Independent.
"
41,"A friend I have known for the last ten years, and does business in downtown Kampala – a hardworking folk for certain – has said to me many times that where they once imported 50 containers of merchandise from China or Turkey, they now import 10 or 15.
"
42,"However, in Kampala, given the nature of businesses, the area of operation or SACCOs will be within the place of work; for example taxi parks, boda boda stages, markets and offices, among others.
"
43,"The same expressway which is a toll road like the Kampala Entebbe Expressway will provide road users with an easy link between the international airport and the beautiful home of the Nile River through the bustling business capital, Kampala.
"
44,"On his way back after the funeral, Paul Kavuma passed through Nairobi and he narrated the whole story of what happened in Kampala and London when Mutesa was in exile before and after he passed away.
"
45,"Ms. Mukumbya was speaking to reporters after presenting the strategic plan to a group of stakeholders during an event held at dfcu head offices in Kampala.
"
46,"Kitutu had spent nine days in Luzira Prison following her remand on April 6 when she was charged with loss of public property and conspiracy to defraud the government at the Anti-Corruption Court in Kampala.
"
47,"During the Christmas season, Sobi had addressed journalists and confessed to a series of murders and robberies around Kampala.
"
48,"Sources privy to the meeting told URN that the ministers and their technocrats held a closed-door ministerial meeting at Protea Hotel in Kampala.
"
49,"It is, unfortunate that currently most judicial officers line up at the Chief Magistrate court of Kampala at Buganda Road merely to have access to live video conferencing and leave their court premises wherever they are situated.
"
50,"A Chinese financed Kampala Entebbe Expressway, linking the capital Kampala to the airport, is already in use.
"
51,"Just imagine a person earning $1,000 in Kampala and another earning the same amount in New York.
"
52,"On the issue of Nabakooba, she told me that Zaake brought hooligans from Kampala to embarrass Nabakooba at the funeral.
"
53,"Bikorwomuhangi was detained at RRU headquarters in Kireka, a Kampala suburb.
"
54,"Onesmus Muwanga, Kampala.
"
55,"Before, the meeting with Thomas, President Museveni had in July met with Blinken’s Russian counterpart, Foreign Minister Sergei Lavrov who visited him in Kampala.
"
56,"Michael Aboneka, Kampala.
"
57,"He attracted a negative reputation for his strict enforcement of the urban beautification campaign in Kampala city then.
"
58,"Indeed, the mantra goes that if you fail in Kampala, you have yourself to blame.
"
59,"Judiciary also failed to account for Shs 84 million paid to officers of the registry High court in Kampala.
"
60,"These commissioners sit at the headquarters in Kampala and are fed with figures from polling stations which they use to process the results.
"
61,"She, however, lost to an independent in the last elections, something she attributes to corrupt leaders who ganged up against her as she fought to protect a large piece of land in Kampala that President Museveni had given to PWDs.
"
62,"“Ongwen,” says Oola, “should be looked at like any other child in Kampala or Gulu— had that child been abducted.
"
63,"The number of school-age children engaged in petty trade in local markets and streets of Kampala appear to be on a rise.
"
64,"Go downtown Kampala and you will find the entrepreneurs with huge turnover of businesses are equally people with the least education.
"
65,"Our urban areas, especially Kampala, are growing rapidly.
"
66,"Dr Byarugaba Baterana, the executive director of the Mulago National Referral Hospital in Kampala told reporters that a further nine people who had been admitted at the hospital ward had died of their injuries.
"
67,"We all know what is happening in Kampala; Kampala is now very difficult to plan for because it was not planned for previously.
"
68,"This is confirmed by the Secretary to the Treasury, Keith Muhakanizi’s remarks to the diplomats and economists at the International Monetary Fund meeting held in Kampala in October last year.
"
69,"The Anti-Corruption Court in Kampala today remanded her to Luzira until May 3.
"
70,"He told a press conference in Kampala that Hepatitis B vaccination is free of charge in all government facilities adding that it’s wasteful to give people more than one dose of the vaccine.
"
71,"Cars are getting fewer on Kampala roads, which will have an impact in the overall tax collections.
"
72,"You find Tanzanian singers cannot go to Nairobi or Kampala, they are closed.
"
73,"Speaking to journalists at the energy ministry’s headquarters in Kampala on Feb. 24, Eng.
"
74,"This retreat is a unique activity to get all ambassadors in one spot because they regularly meet in Kampala but only deliberate as a group once every year outside the capital,” Gyezaho said.
"
75,"We have already supported the youth of Kampala, Rukungiri etc.
"
76,"with metal cutting and bending common-user machine tools, the common-user machines for carpentry etc.
"
77,"On Sunday, a few hours before Dr Hajj Bulaimu Muwanga Kibirige, popularly known as BMK after his eponymous group, was buried at the ‘public’ Muslim cemetery he created in Nkoowe near Wakiso town, I was at Hotel Africana in Kampala.
"
78,"“People in Kampala listen to people who peddle false hoods, some of who say Coronavirus does not exist.
"
79,"Nankabirwa revealed this during a press conference at the Uganda Media Centre in Kampala, where she addressed the pressing matters related to the forthcoming Energy and Minerals Week 2023, scheduled for November 13-18.
"
80,"Hence, Museveni and other non-Baganda in Kampala, plus the Baganda of course, we are supporting the prosperity of many Baganda businessmen.
"
81,"This was during the multi-stakeholder platform workshop in Kampala.
"
82,"He stormed Katwe, a Kampala suburb known for its manufacture of all sorts of electric appliances, especially those locally made, to get the first machines he used on the onset on top of his kitchen microwave to sterilize his tissues.
"
83,"The minister of Finance Matia Kasaija has presented a $12m (Shs 140bn) request to parliament’s committee on the national economy to operationalise the Eco-bus project in Kampala central district.
"
84,"The opening day of Ugandan artist Donald Augustine Wasswa aka Waswad at Afriart in Kampala has gone down in local art lore because of one of the works on display titled controversially as `My Screw ups 1, 2& 3’.
"
85,"The official launch of the Tororo Girls’ School Alumni Association was held on September 23, 2022 at Golf Course Hotel, in Kampala with First Deputy Prime Minister, Minister of East African Community Affairs and Woman Member of Parliament for Kamuli District Kadaga, as chief guest.
"
86,"People in paid (wage) employment increased between 2002 and 2014, but much more in the Kampala, western, and central regions than in the eastern and northern regions.
"
87,"Whereas I was in Kampala when she was arrested, I met her brother and also made a few calls to ensure that justice was served, the good thing with those countries is that systems work and when you are innocent, like she was, you gain your freedom.
"
88,"Annet Nabweteme, a resident of Kamombogga in Kampala thinks that Kalembe should identify women especially single mothers who took care of families during the lockdown.
"
89,"However addressing journalists at the Uganda Media Center in Kampala minister Lokeris said government had already responded to the request, giving assurance that work has not stopped.
"
90,"Bashir Twesigye, the executive director of Civic Response on Environment and Development (CRED), a Kampala-based civil society organisation, says the government’s disaster risk response remains inadequate.
"
91,"An average person in Kampala spends 3.5 hours (one and a half hours in the morning and another two hours in the evening) in traffic jams every working day.
"
92,"We are sorting to select one or two for Kampala.
"
93,"Anna said that money would only buy land in Kampala.
"
94,"And so, Mr President today sanctions deployment of commandos in Kampala.
"
95,"The study findings were shared at the launch of the tenth edition of the Agricultural Financial Yearbook that was held recently at Imperial Royale hotel in Kampala.
"
96,"Distribution of nets in Kampala and Wakiso is expected to start next month.
"
97,"President Yoweri Museveni has donated Shs 300 million towards the construction of the Uganda Orthodox Cathedral at Lubya Hill, in Rubaga Division in Kampala.
"
98,"With the help of former State Minister for Agriculture Hope Mwesigye, Mbabazi reportedly met the delegates at Emerald Hotel, a small establishment in Kampala, coached them, and paid them amounts between Shs 500,000 – 1,000,000 each.
"
99,"Sources say from this point, President Museveni embarked on a silent mission to reduce the Beijing/Mbabazi influence in Kampala.
"
100,"On April 19, the hostility erupted once again as hundreds of traders in the capital city, Kampala, staged a closed-shop protest and marched along some streets brandishing placards telling the Chinese to “Leave our country.
"
101,"But we are looking at areas like Karamoja.
"
102,"The lowest asthma rates are recorded in Karamoja and the Lango region.
"
103,"Akiriket is a traditional shrine where elders in Karamoja meet and invoke their gods over issues affecting the land.
"
104,"The task force will interview witnesses and record statements from a number of government officials including Minister for Karamoja to establish their involvement in the iron sheets saga.
"
105,"Arenger says even if she is a woman and some of the projects available could benefit her, she is worried that if the soaring number of unemployed youths in Karamoja is not catered for soon, the region may slide back into lawlessness.
"
106,"Alupo further noted that when completed, the University, the first ever in Karamoja will develop appropriate technology to harness natural resources for wealth creation and integral human development.
"
