,Unnamed: 0,readable,uganda-Kampala,uganda-Karamoja,uganda-Kenya,uganda-Rwanda,uganda-Uganda,all,stripped
0,0,"Speaking at the Uganda Media Center in Kampala, HESFB executive director, Michael Wanyama, said the successful applicants are under “Lot 1” of the 8th cohort of the students’ loan scheme beneficiaries for the academic year 2021/22.
",1,0,0,0,0,1,speak uganda medium center kampala hesfb executive director michael wanyama say successful applicant lot th cohort student loan scheme beneficiary academic year
1,1,"In Kampala, since Jennifer Musisi’s time, they have been singing the song of decongesting the city but as much as they have tried to do so, the lord mayor and his political squad have also misled people.
",1,0,0,0,0,1,kampala since jennifer musisi time singe song decongeste city much try lord mayor political squad mislead people
2,2,"In Kampala, the Journal report said, over 90% of the measured fine particles in the air mass can be explained by condensed particles (crustal species and between 41% and 59%) and soot from burning fires, manufacturing processes, and motor vehicles (carbonaceous aerosol at between 33% and 55%).
",1,0,0,0,0,1,kampala journal report say measure fine particle air mass explain condensed particle crustal specie soot burn fire manufacturing process motor vehicle carbonaceous aerosol 
3,3,"In a glaring snub to Besigye, Ssuubi linchpin, Kampala Central MP Erias Lukwago has proceeded to contest for the Kampala mayoral seat without formal IPC endorsement.
",1,0,0,0,0,1,glaring snub besigye ssuubi linchpin kampala central mp erias lukwago proceed contest kampala mayoral seat without formal ipc endorsement
4,4,"But Mutebile told a meeting in Kampala on Friday that the opportunity to borrow non-concessional – expensive money – to meet infrastructure needs has become very tempting, especially in anticipation of oil revenues, which serve as collateral for borrowing from international markets.
",1,0,0,0,0,1,mutebile tell meeting kampala friday opportunity borrow non concessional expensive money meet infrastructure need become tempting especially anticipation oil revenue serve collateral borrow international market
5,5,"The Preferential Trade Area Bank (PTA), also known as the Eastern & Southern African Trade & Development Bank, held a Bank Business Seminar at Sheraton Hotel in Kampala on the 27th of June.
",1,0,0,0,0,1,preferential trade area bank pta know eastern southern african trade development bank hold bank business seminar sheraton hotel kampala th june
6,6,"Transport of a tonne of goods from Mombasa to Kampala is currently US$150.
",1,0,0,0,0,1,transport tonne good mombasa kampala currently we
7,7,"In terms of the transports sector, it is anticipated that near rainfall patterns are likely to be occasionally accompanied by intense rainfall events that may lead to flash flooding in some localized places especially in Kampala and other urban areas.
",1,0,0,0,0,1,term transport sector anticipate near rainfall pattern likely occasionally accompany intense rainfall event may lead flash flooding localize place especially kampala urban area
8,8,"A trained lawyer, Muhoozi joined the Army in 1985, a year before the take over of Kampala.
",1,0,0,0,0,1,train lawyer muhoozi join army year take kampala
9,9,"No, the light rail is for the Greater Kampala Metropolitan Area (GKMA) that will ease transportation in and around Kampala.
",1,0,0,0,0,1,light rail great kampala metropolitan area gkma ease transportation around kampala
10,10,"Lake Mburo is the closest park to Kampala and can be accessed by road or air.
",1,0,0,0,0,1,lake mburo close park kampala access road air
11,11,"Dozens of people were killed and several others injured mostly in Kampala, as security forces tried to quell riots that followed the arrest of two opposition politicians on allegations of violating COVID-19 containment measures.
",1,0,0,0,0,1,dozen people kill several other injure mostly kampala security force try quell riot follow arrest two opposition politician allegation violate covid containment measure
12,12,"Tactically, therefore, Besigye has been extremely successful in undermining the confidence of NRM supporters in their president and government, crippling the government’s diplomatic standing, dented the country’s image as an investment destination, shut down the city, forced the closure of banks, stopped people from work, reduced the inflow of goods into Kampala and turned national attention to his person.
",1,0,0,0,0,1,tactically therefore besigye extremely successful undermine confidence nrm supporter president government cripple government diplomatic standing dent country image investment destination shut city force closure bank stop people work reduce inflow good kampala turn national attention person
13,13,"“To move cargo from Mombasa to Kampala by rail is about half of the price by road.
",1,0,0,0,0,1,move cargo mombasa kampala rail half price road
14,14,"East African Breweries Limited launched a 124-page sustainability report titled, Crafting a sustainable future: Our report to society 2021’ at Serena hotel Kampala on September 1, 2021.
",1,0,0,0,0,1,east african brewery limit launch page sustainability report title craft sustainable future report society serena hotel kampala september
15,15,"Kampala and Havana support each other in international forums through the Non-Aligned Movement, the Group of 77 plus China and the UN to defend and protect their interests and strategic political and economic associations.
",1,0,0,0,0,1,kampala havana support international forum non align movement group plus china un defend protect interest strategic political economic association
