,stripped,readable,conditions,decisions,processes,proportions,causes,other,all
0,fix information change climate farmer know transfer knowledge sae actually know important tell something weird consequential see harvest bad,"It's very fixed information for a changing climate, and the farmer knows this, but he can't transfer that knowledge to SAED because he doesn't actually know if it's important that is, you can't tell if something weird is consequential until you see if the harvest is bad or not.",1,1,0,0,1,0,1
1,buyer ask farmer access harvester ensure get help harvest land,"Buyers will ask if a farmer has access to a harvester, to ensure they can get help harvesting their land.",1,0,0,0,0,0,1
2,farmer wait rice ready might lose harvest early,"If a farmer waits until the rice is ready, he might lose more than if he harvests early.",0,1,1,1,0,0,1
3,dr fall expect harvest early,Dr. Fall expects him to harvest early.,0,0,0,0,0,1,1
4,labor available harvester available farmer harvest early expect good market price bird nearby want spend less harvest,"If labor is available, and the harvesters are not available, a farmer will harvest early if he expects a good market price or if birds are nearby or if he wants to spend less on harvest.",1,1,0,1,0,0,1
5,farmer farm size big enough wait harvester available plot small hire labor,"If a farmer's farm size is big enough, he will wait until harvesters are available, but if his plots are small, he will hire labor.",1,1,0,1,0,0,1
6,farmer harvest paddy rice late able start tomato cold dry season,"If a farmer harvests paddy rice late, he won't be able to start tomatoes in the colddry season.",1,0,1,0,0,0,1
7,suppose mr harvest repay cooperative yet,"Suppose that Mr. A has harvested, but he hasn't repaid his coop yet.",0,0,0,0,0,1,1
8,sometimes farmer one crop year harvest late,"Sometimes farmers just do one crop a year because they harvest late, etc.",0,1,1,0,1,0,1
9,government rely farmer able reduce amount import food make equipment technology available try increase production,"The government is relying on farmers to be able to reduce the amount of imported food, and is making equipment and technology available to try and increase production.",0,0,0,1,0,0,1
10,local cooperative help elderly couple without child harvest field cooperative goal,"The local cooperative wouldn't help an elderly couple without children to harvest their fields, because cooperatives have their own goals.",0,1,0,0,1,0,1
11,culturally expect help elder go harvest field give product,It is culturally expected to help elders and to go harvest their fields and give them the product.,1,1,0,0,0,0,1
12,harvest time cooperative collect yield farmer store headquarters take corresponding credit farmer production leave remain farmer,"At harvest time, the cooperative has to collect ALL the yield from farmers and store in headquarters; then they take all the corresponding credit from each farmer's production and leave the remaining to each farmer.",0,0,1,1,0,0,1
13,financing line bank choose support startup cost subsidize credit farmer new equipment,"Financing line in any bank they choose, to support startup costs and subsidize through credit for farmers, e.g. for new equipment, etc.",0,0,0,0,0,1,1
14,improve system farmer need push get access equipment,"For improving the system itself, farmers need to be pushed to get access to equipment.",0,0,0,0,0,1,1
15,credit union make program subsidize equipment cost farmer pay back million whatever,"Credit union makes a program to subsidize 20 or 30% of equipment cost, so farmers pay back only 70% of 40 million or whatever.",0,0,0,1,0,0,1
16,labor irrigate system require lot labor use machinery probably expensive,Labor most of the irrigated system requires a lot of labor if you're not using machinery (and you probably aren't because it's expensive.),1,0,0,1,1,0,1
17,might enough money hire labor covid might make difficult nobody move machinery,"You might not have enough money to hire labor, COVID might make it difficult, or nobody can move the machinery to where you are.",1,0,0,1,0,0,1
18,onion farmer cooperative lobby pressure government grace period harvest import stop month domestic producer sell import allow,"But for onions, the farmers being in cooperatives, they lobby to pressure the government for a grace period after harvest where imports are stopped, e.g. a month in which domestic producers can sell before imports are allowed.",0,0,1,0,0,0,1
19,"diagram time 

 harvest factor consider"," Diagram time During harvest, there's a few factors to consider.",0,0,0,0,0,1,1
20,majority ask equipment ready harvest,"For the majority, you have to ask if you have equipment ready to harvest.",1,0,1,0,0,0,1
21,willing harvest rapidly bird attack damage speed timeline wet dry humidity paddy mean might lose machinery labor cheap equipment,"Are you willing to harvest very rapidly because you're having bird attacks or other damages that speed up your timeline; is it wet or dry, because the humidity of the paddy means some might be lost by machinery; and labor is cheaper than equipment.",0,1,1,1,1,0,1
22,final factor need repay loan get new credit want harvest fast repay fast,"A final factor is that you need to repay your loans before you can get new credit, so you want to harvest faster so you can repay faster.",1,0,1,0,0,0,1
23,labor pay th production harvester,"For labor, you pay 110th of your production for a harvester.",0,0,0,1,0,0,1
24,use harvester top cost,"If you use a thresher on top of that, that costs 18%.",1,0,0,1,0,0,1
25,use harvester tiny plot sometimes lose yield use labor,"If you use a thresher with tiny plots, sometimes you lose more yield than if you were using labor.",1,0,0,1,0,0,1
26,other say harvester produce clean fast high quality paddy without bunch weed labor take time,"But others say threshers produce clean, fast, high quality paddy without a bunch of weeds, and labor takes time",1,1,1,0,0,0,1
27,dr fall believe small plot good use manual labor harvest time,"Dr. Fall believes that if you have a small plot, it's best to use manual labor if you harvest on time.",1,0,0,0,0,0,1
28,big plot way harvest time labor,"If you have a big plot, there's no way you can harvest it all on time by labor!",1,0,0,0,0,0,1
29,unfortunately everybody want harvest last moment service provider available,"Unfortunately, everybody wants to harvest at the last moment, and then there's no service providers available.",0,1,0,0,1,0,1
30,another factor labor get expensive crop harvest export market compete,Another factor is that labor gets more expensive when there's crops being harvested for export markets that compete.,0,0,1,1,1,0,1
31,seeding harvesting mostly come hire labor,"But for seeding and harvesting, it mostly comes from hired labor.",0,0,0,0,0,1,1
32,seeding period harvest period labor need various industry competition,"There's seeding periods, harvest periods, where labor is needed in various industries and there's a competition.",0,0,1,0,0,0,1
33,harvest time rice harvest rice correspond seed period horticulture cropping,"But during harvest time for rice, harvest for rice corresponds to seeding period for horticulture croppings.",0,0,1,0,0,0,1
34,farm need labor horticulture may compete farm need harvest labor,"So if those farms need labor for horticulture, they may compete with farms that need harvest labor.",1,0,0,0,0,0,1
35,hire temporary labor period like seeding harvesting still room small farmer,"They'll hire temporary labor for periods like seeding and harvesting, but there's still room for small farmers.",0,0,1,0,0,0,1
36,farmer really need hire labor harvesting seeding period may able rely family labor,"Farmers really need hired labor for harvesting; for the seeding period, they may be able to rely on family labor.",1,0,1,0,0,0,1
37,machinery need two people one drive one guide matter number hectare,"If you have machinery, you just need two people: One to drive, one to guide, no matter the number of hectares.",0,0,0,1,0,0,1
38,go manual labor might take three people three day hr day harvest one hectare,"But if you go for manual labor, it might take three people three days (8hr a day) to harvest one hectare.",1,0,1,0,0,0,1
39,service provider need check agree harvest,Service providers need to check before they agree to harvest.,1,1,0,0,0,0,1
40,opinion always use machinery,"In his opinion, 85% are always using machinery.",0,0,0,1,0,0,1
41,harvest late time go labor,It's because they harvest late and they don't have time to go for labor.,0,0,0,0,1,1,1
42,buy batteuse asi mini harvester,Some of them buy batteuse-ASI (mini-thresher).,0,0,0,0,0,1,1
43,could see horticulture harvest around january early february would see lot farm onion tomato,We could see horticulture harvests around January and early February (we would see a lot of farms doing onions and tomatoes).,0,0,1,0,0,0,1
44,harvest delay due restricted access labor equipment,Harvest delays due to restricted access to labor and equipment.,0,0,1,1,1,0,1
45,since people harvest june late july take roughly month collect debt,"Since people harvest in June or late July, it takes roughly 3 months to collect debts.",0,0,1,0,1,0,1
46,bulletin say remain credit come credit loan onion suppose pay june six month onion harvest full credit reimbursement,"The bulletin says the remaining credit comes from credit loaned on onions, which is supposed to be paid by June six months between onion harvest and full credit reimbursement!",0,0,1,0,0,0,1
