,stripped,readable,conditions,decisions,processes,proportions,causes,other,all
0,farmer horticulture subsistence rice planting without credit,Farmers will do horticulture for subsistence but not rice planting without a loan.,1,1,0,0,0,0,1
1,mr grow horticulture last year cold dry season make good profit,Mr. D grew tomatoes in last year's cold dry season and made a good profit.,0,0,0,0,0,1,1
2,must notice rice horticulture grow time,We must notice that rice and tomatoes are not grown at the same time.,0,0,1,0,0,0,1
3,farmer might rice result might miss cropping season horticulture,A farmer might do rice and then as a result he might miss the cropping season for tomatoes.,0,0,0,0,1,0,1
4,farmer harvest paddy rice late able start horticulture cold dry season,"If a farmer harvests paddy rice late, he won't be able to start tomatoes in the cold dry season.",1,0,1,0,1,0,1
5,farmer good price horticulture last season matter government say rice grow horticulture think profit even though rice subsidize,"If a farmer had a good price for tomatoes last season, no matter what the government says about rice, he will grow tomatoes again because he's thinking about the profits, even though the rice is subsidized.",0,1,0,1,1,0,1
6,expected profit horticulture high matter government incentivize rice,"If the expected profit for tomatoes is higher, it doesn't matter what the government does to incentivize rice.",1,0,0,1,0,0,1
7,half hectare horticulture earn almost twice much farmer one hectare rice,A half hectare of tomatoes earns almost twice as much for the farmer than one hectare of rice.,0,0,0,1,0,0,1
8,input horticulture high,But the inputs for tomatoes are higher.,0,0,0,1,0,0,1
9,last year horticulture sell high price many mr neighbor already plant horticulture year,"Last year, tomatoes sold at a high price and many of Mr. D's neighbors have already planted tomatoes this year.",0,0,0,0,0,1,1
10,horticulture one crop access credit get credit might go horticulture,"Tomatoes is one of the crops with access to credit, so if you can get credit, you might go for tomatoes.",1,1,0,0,0,0,1
11,farmer compare expect profit horticulture increase price seed determine whether seed price high,Farmers will compare the expected profit of tomatoes to the increasing price of seed to determine whether that seed price is too high.,0,1,0,1,0,0,1
12,dr fall would expect majority farmer would go horticulture price horticulture seed probably much compare expect profit,"Dr. Fall would expect the majority of farmers would go for tomatoes, because the price of tomato seed probably wouldn't be so much compared to the expected profit.",0,1,0,1,1,0,1
13,last year good year horticulture farmer expect thing year price seed get high enough cut profit,"Last year was a good year for tomatoes, so farmers expect the same thing this year, and the price of seed just can't get high enough to cut into the profits.",0,1,0,1,0,0,1
14,dr fall expect farmer go horticulture,Dr. Fall expects 50 to 60% of farmers to go for tomatoes.,0,1,0,1,0,0,1
15,farmer might emphasize horticulture cold dry season expect high price order get enough cash afford food high price,"Farmers might emphasize tomatoes this cold dry season, expecting a high price, in order to get enough cash to afford other foods at their high prices.",1,1,0,1,0,0,1
16,sometimes people sell horticulture pay credit credit rice,Sometimes people sell tomatoes to pay back credit for rice.,0,0,0,0,1,0,1
17,grow horticulture cold dry season paddy rainy season keep paddy consumption order surplus cash rice,"Growing tomatoes in the cold dry season and paddy in the rainy season, keeping more paddy for consumption, in order to have a surplus of both cash and rice.",0,0,1,1,1,0,1
18,farmer grow horticulture rice benefit prevent hunger interested national big picture,"Farmers are growing more tomatoes and rice for their own benefit and to prevent their own hunger, but also because they're interested in the national big picture.",0,1,0,1,1,0,1
19,horticulture need right type soil,But for tomatoes you need the right type of soil.,1,0,0,0,0,0,1
20,cooperative leader really direct area might influence crop switch one crop another information fertilizer oh leader grow horticulture maybe follow,"Coop leaders don't really direct what the area is, but they might influence what to crop, how to switch from one crop to another; they have information about fertilizer, etc.. Oh, the leader is growing onion, so maybe I will follow.",0,1,0,0,1,0,1
21,mainly horticulture vegetable,This is mainly for onions and for some other vegetables.,0,0,0,0,0,1,1
22,horticulture industry work farmer buy local yield even though always capable buy yield still good market,"But for tomatoes, there's an industry working with farmers to buy local production, and even though it's not always capable of buying all the production, there's still a good market.",0,0,0,1,0,0,1
23,horticulture farmer cooperative lobby pressure government grace period harvest import stop month domestic producer sell import allow,"But for onions, the farmers being in cooperatives, they lobby to pressure the government for a grace period after harvest where imports are stopped, e.g. a month in which domestic producers can sell before imports are allowed.",0,0,1,0,0,0,1
24,agency horticulture crop,This agency is all for horticulture crops.,0,0,0,0,0,1,1
25,effort promotion local rice sometimes increase tax rate importer rice mechanism quite different horticulture import market,"There's some effort for promotion of local rice, and sometimes they increase the tax rate of importers for rice, but the mechanism is quite different than the onion import market.",0,0,0,1,1,0,1
26,horticulture grower cooperative nation wide power pressure government,Onion Growers' Cooperative is nation-wide so they have the power to pressure the government.,0,0,0,0,0,1,1
27,srv yield podor niaye zone main horticulture zone horticulture dakar st louis,"Most of them are in the SRV because most production is in Podor, but there's also the Niaye zone that's the main horticulture zone that has onion too (Dakar to St. Louis).",0,0,0,1,1,0,1
