,tokens
0,"['farmer', 'horticulture', 'subsistence', 'rice', 'planting', 'without', 'loan']"
1,"['mr', 'grow', 'tomato', 'last', 'year', 'cold', 'dry', 'season', 'make', 'good', 'profit']"
2,"['must', 'notice', 'rice', 'tomato', 'grow', 'time']"
3,"['farmer', 'might', 'rice', 'result', 'might', 'miss', 'cropping', 'season', 'tomato']"
4,"['farmer', 'harvest', 'paddy', 'rice', 'late', 'able', 'start', 'tomato', 'cold', 'dry', 'season']"
5,"['farmer', 'good', 'price', 'tomato', 'last', 'season', 'matter', 'government', 'say', 'rice', 'grow', 'tomato', 'think', 'profit', 'even', 'though', 'rice', 'subsidize']"
6,"['expect', 'profit', 'tomato', 'high', 'matter', 'government', 'incentivize', 'rice']"
7,"['half', 'hectare', 'tomato', 'earn', 'almost', 'twice', 'much', 'farmer', 'one', 'hectare', 'rice']"
8,"['input', 'tomato', 'high']"
9,"['last', 'year', 'tomato', 'sell', 'high', 'price', 'many', 'mr', 'neighbor', 'already', 'plant', 'tomato', 'year']"
10,"['tomato', 'one', 'crop', 'access', 'credit', 'get', 'credit', 'might', 'go', 'tomato']"
11,"['farmer', 'compare', 'expect', 'profit', 'tomato', 'increase', 'price', 'seed', 'determine', 'whether', 'seed', 'price', 'high']"
12,"['dr', 'fall', 'would', 'expect', 'majority', 'farmer', 'would', 'go', 'tomato', 'price', 'tomato', 'seed', 'probably', 'much', 'compare', 'expect', 'profit']"
13,"['last', 'year', 'good', 'year', 'tomato', 'farmer', 'expect', 'thing', 'year', 'price', 'seed', 'get', 'high', 'enough', 'cut', 'profit']"
14,"['dr', 'fall', 'expect', 'farmer', 'go', 'tomato']"
15,"['farmer', 'might', 'emphasize', 'tomato', 'cold', 'dry', 'season', 'expect', 'high', 'price', 'order', 'get', 'enough', 'cash', 'afford', 'food', 'high', 'price']"
16,"['sometimes', 'people', 'sell', 'tomato', 'pay', 'back', 'credit', 'rice']"
17,"['grow', 'tomato', 'cold', 'dry', 'season', 'paddy', 'rainy', 'season', 'keep', 'paddy', 'consumption', 'order', 'surplus', 'cash', 'rice']"
18,"['farmer', 'grow', 'tomato', 'rice', 'benefit', 'prevent', 'hunger', 'interested', 'national', 'big', 'picture']"
19,"['tomato', 'need', 'right', 'type', 'soil']"
20,"['cooperative', 'leader', 'really', 'direct', 'area', 'might', 'influence', 'crop', 'switch', 'one', 'crop', 'another', 'information', 'fertilizer', 'oh', 'leader', 'grow', 'onion', 'maybe', 'follow']"
21,"['mainly', 'onion', 'vegetable']"
22,"['tomato', 'industry', 'work', 'farmer', 'buy', 'local', 'production', 'even', 'though', 'always', 'capable', 'buy', 'production', 'still', 'good', 'market']"
23,"['agency', 'horticulture', 'crop']"
24,"['effort', 'promotion', 'local', 'rice', 'sometimes', 'increase', 'tax', 'rate', 'importer', 'rice', 'mechanism', 'quite', 'different', 'onion', 'import', 'market']"
25,"['onion', 'grower', 'cooperative', 'nation', 'wide', 'power', 'pressure', 'government']"
26,"['srv', 'production', 'podor', 'niaye', 'zone', 'main', 'horticulture', 'zone', 'onion', 'dakar', 'st', 'louis']"
27,"['tomato', 'industry', 'rice', 'industry', 'miller', 'export', 'horticulture']"
28,"['harvest', 'time', 'rice', 'harvest', 'rice', 'correspond', 'seed', 'period', 'horticulture', 'cropping']"
29,"['farm', 'need', 'labor', 'horticulture', 'may', 'compete', 'farm', 'need', 'harvest', 'labor']"
30,"['agribusinesse', 'like', 'tomato', 'canning', 'industry', 'regular', 'labor']"
