,Unnamed: 0,readable,wikipedia_article_1,wikipedia_article_2,wikipedia_article_3,wikipedia_article_4,all,stripped
0,0,"One of the first examples of an expert system was MYCIN, an application to perform medical diagnosis.
",1,0,0,0,1,one first example expert system mycin application perform medical diagnosis
1,1,"In the MYCIN example, the domain experts were medical doctors and the knowledge represented was their expertise in diagnosis.
",1,0,0,0,1,mycin example domain expert medical doctor knowledge represent expertise diagnosis
2,2,"Expert systems were first developed in artificial intelligence laboratories as an attempt to understand complex human decision making.
",1,0,0,0,1,expert system first develop artificial intelligence laboratory attempt understand complex human decision make
3,3,"Based on positive results from these initial prototypes, the technology was adopted by the US business community (and later worldwide) in the 1980s.
",1,0,0,0,1,base positive result initial prototype technology adopt us business community later worldwide
4,4,"The Stanford heuristic programming projects led by Edward Feigenbaum was one of the leaders in defining and developing the first expert systems.
",1,0,0,0,1,stanford heuristic programming project lead edward feigenbaum one leader define develop first expert system
5,5,"In the earliest days of expert systems there was little or no formal process for the creation of the software.
",1,0,0,0,1,early day expert system little formal process creation software
6,6,"Researchers just sat down with domain experts and started programming, often developing the required tools (e.g.
",1,0,0,0,1,researcher sit domain expert start program often develop require tool
7,7,"inference engines) at the same time as the applications themselves.
",1,0,0,0,1,inference engine time application
8,8,"As expert systems moved from academic prototypes to deployed business systems it was realized that a methodology was required to bring predictability and control to the process of building the software.
",1,0,0,0,1,expert system move academic prototype deploy business system realize methodology require bring predictability control process build software
9,9,"There were essentially two approaches that were attempted: Use conventional software development methodologies, and develop special methodologies tuned to the requirements of building expert systems.
",1,0,0,0,1,essentially two approach attempt use conventional software development methodology develop special methodology tune requirement build expert system
10,10,"Many of the early expert systems were developed by large consulting and system integration firms such as Andersen Consulting.
",1,0,0,0,1,many early expert system develop large consulting system integration firm andersen consulting
11,11,"These firms already had well tested conventional waterfall methodologies (e.g.
",1,0,0,0,1,firm already well test conventional waterfall methodology
12,12,"Method/1 for Andersen) that they trained all their staff in and that were virtually always used to develop software for their clients.
",1,0,0,0,1,method andersen train staff virtually always use develop software client
13,13,"One trend in early expert systems development was to simply apply these waterfall methods to expert systems development.
",1,0,0,0,1,one trend early expert system development simply apply waterfall method expert system development
14,14,"Another issue with using conventional methods to develop expert systems was that due to the unprecedented nature of expert systems they were one of the first applications to adopt rapid application development methods that feature iteration and prototyping as well as or instead of detailed analysis and design.
",1,0,0,0,1,another issue use conventional method develop expert system due unprecedented nature expert system one first application adopt rapid application development method feature iteration prototyping well instead detailed analysis design
15,15,"In the 1980s few conventional software methods supported this type of approach.
",1,0,0,0,1,conventional software method support type approach
16,16,"The final issue with using conventional methods to develop expert systems was the need for knowledge acquisition.
",1,0,0,0,1,final issue use conventional method develop expert system need knowledge acquisition
17,17,"Knowledge acquisition refers to the process of gathering expert knowledge and capturing it in the form of rules and ontologies.
",1,0,0,0,1,knowledge acquisition refer process gather expert knowledge capture form rule ontology
18,18,"Knowledge acquisition has special requirements beyond the conventional specification process used to capture most business requirements.
",1,0,0,0,1,knowledge acquisition special requirement beyond conventional specification process use capture business requirement
19,19,"These issues led to the second approach to knowledge engineering: development of custom methodologies specifically designed to build expert systems.
",1,0,0,0,1,issue lead second approach knowledge engineering development custom methodology specifically design build expert system
20,20,"One of the first and most popular of such methodologies custom designed for expert systems was the Knowledge Acquisition and Documentation Structuring (KADS) methodology developed in Europe.
",1,0,0,0,1,one first popular methodology custom design expert system knowledge acquisition documentation structure kad methodology develop europe
21,21,"KADS had great success in Europe and was also used in the United States.
",1,0,0,0,1,kad great success europe use united states
22,22,"In artificial intelligence, an expert system is a computer system emulating the decision-making ability of a human expert.
",0,1,0,0,1,artificial intelligence expert system computer system emulate decision make ability human expert
23,23,"Expert systems are designed to solve complex problems by reasoning through bodies of knowledge, represented mainly as if–then rules rather than through conventional procedural code.
",0,1,0,0,1,expert system design solve complex problem reason body knowledge represent mainly rule rather conventional procedural code
24,24,"The first expert systems were created in the 1970s and then proliferated in the 1980s.
",0,1,0,0,1,first expert system create proliferate
25,25,"Expert systems were among the first truly successful forms of artificial intelligence (AI) software.
",0,1,0,0,1,expert system among first truly successful form artificial intelligence ai software
26,26,"An expert system is divided into two subsystems: the inference engine and the knowledge base.
",0,1,0,0,1,expert system divide two subsystem inference engine knowledge base
27,27,"The knowledge base represents facts and rules.
",0,1,0,0,1,knowledge base represent fact rule
28,28,"The inference engine applies the rules to the known facts to deduce new facts.
",0,1,0,0,1,inference engine apply rule know fact deduce new fact
29,29,"Inference engines can also include explanation and debugging abilities.
",0,1,0,0,1,inference engine include explanation debug ability
30,30,"The Turing test, originally called the imitation game by Alan Turing in 1950, is a test of a machine's ability to exhibit intelligent behaviour equivalent to, or indistinguishable from, that of a human.
",0,0,1,0,1,ture test originally call imitation game alan ture test machine ability exhibit intelligent behaviour equivalent indistinguishable human
31,31,"Turing proposed that a human evaluator would judge natural language conversations between a human and a machine designed to generate human-like responses.
",0,0,1,0,1,ture propose human evaluator would judge natural language conversation human machine design generate human like response
32,32,"The evaluator would be aware that one of the two partners in conversation was a machine, and all participants would be separated from one another.
",0,0,1,0,1,evaluator would aware one two partner conversation machine participant would separate one another
33,33,"The conversation would be limited to a text-only channel, such as a computer keyboard and screen, so the result would not depend on the machine's ability to render words as speech.
",0,0,1,0,1,conversation would limit text channel computer keyboard screen result would depend machine ability render word speech
34,34,"If the evaluator could not reliably tell the machine from the human, the machine would be said to have passed the test.
",0,0,1,0,1,evaluator could reliably tell machine human machine would say pass test
35,35,"The test results would not depend on the machine's ability to give correct answers to questions, only on how closely its answers resembled those a human would give.
",0,0,1,0,1,test result would depend machine ability give correct answer question closely answer resemble human would give
36,36,"The test was introduced by Turing in his 1950 paper ""Computing Machinery and Intelligence"" while working at the University of Manchester.
",0,0,1,0,1,test introduce ture paper computing machinery intelligence work university manchester
37,37,"It opens with the words: ""I propose to consider the question, 'Can machines think?'""
",0,0,1,0,1,open word propose consider question machine think
38,38,"Because ""thinking"" is difficult to define, Turing chooses to ""replace the question by another, which is closely related to it and is expressed in relatively unambiguous words.""
",0,0,1,0,1,thinking difficult define ture choose replace question another closely related express relatively unambiguous word
39,39,"Turing describes the new form of the problem in terms of a three-person game called the ""imitation game"", in which an interrogator asks questions of a man and a woman in another room in order to determine the correct sex of the two players.
",0,0,1,0,1,ture describe new form problem term three person game call imitation game interrogator ask question man woman another room order determine correct sex two player
40,40,"Turing's new question is: ""Are there imaginable digital computers which would do well in the imitation game?""
",0,0,1,0,1,ture new question imaginable digital computer would well imitation game
41,41,"This question, Turing believed, was one that could actually be answered.
",0,0,1,0,1,question ture believe one could actually answer
42,42,"In the remainder of the paper, he argued against all the major objections to the proposition that ""machines can think"".
",0,0,1,0,1,remainder paper argue major objection proposition machine think
43,43,"Since Turing introduced his test, it has been both highly influential and widely criticised, and has become an important concept in the philosophy of artificial intelligence.
",0,0,1,0,1,since ture introduce test highly influential widely criticise become important concept philosophy artificial intelligence
44,44,"Some of its criticisms, such as John Searle's Chinese room, are themselves controversial.
",0,0,1,0,1,criticism john searle chinese room controversial
45,45,"Human-AI collaboration is the study of how humans and artificial intelligence (AI) agents work together to accomplish a shared goal.
",0,0,0,1,1,human ai collaboration study human artificial intelligence ai agent work together accomplish shared goal
46,46,"AI systems can aid humans in everything from decision making tasks to art creation.
",0,0,0,1,1,ai system aid human everything decision make task art creation
47,47,"Examples of collaboration include medical decision making aids., hate speech detection, and music generation.
",0,0,0,1,1,example collaboration include medical decision make aid hate speech detection music generation
